Row Number,CED Code 2021,CED,State,Postcode,Postcode Area (sq km),CED Area (sq km)
1,101,Banks,New South Wales,2170,54.319,49.4371
2,101,Banks,New South Wales,2172,3.6787,49.4371
3,101,Banks,New South Wales,2196,7.0679,49.4371
4,101,Banks,New South Wales,2209,4.2502,49.4371
5,101,Banks,New South Wales,2210,11.0963,49.4371
6,101,Banks,New South Wales,2211,7.3323,49.4371
7,101,Banks,New South Wales,2212,6.4088,49.4371
8,101,Banks,New South Wales,2213,10.0369,49.4371
9,101,Banks,New South Wales,2214,5.3711,49.4371
10,101,Banks,New South Wales,2217,6.2487,49.4371
11,101,Banks,New South Wales,2218,2.6615,49.4371
12,101,Banks,New South Wales,2220,5.144,49.4371
13,101,Banks,New South Wales,2221,5.3796,49.4371
14,101,Banks,New South Wales,2222,2.5457,49.4371
15,101,Banks,New South Wales,2223,7.253,49.4371
16,101,Banks,New South Wales,2234,39.7248,49.4371
17,102,Barton,New South Wales,2020,11.9607,39.547
18,102,Barton,New South Wales,2044,3.8539,39.547
19,102,Barton,New South Wales,2192,2.731,39.547
20,102,Barton,New South Wales,2193,4.1963,39.547
21,102,Barton,New South Wales,2194,3.3734,39.547
22,102,Barton,New South Wales,2203,2.0929,39.547
23,102,Barton,New South Wales,2204,5.7904,39.547
24,102,Barton,New South Wales,2205,4.244,39.547
25,102,Barton,New South Wales,2206,5.9786,39.547
26,102,Barton,New South Wales,2207,7.1852,39.547
27,102,Barton,New South Wales,2208,4.459,39.547
28,102,Barton,New South Wales,2209,4.2502,39.547
29,102,Barton,New South Wales,2216,5.5962,39.547
30,102,Barton,New South Wales,2217,6.2487,39.547
31,102,Barton,New South Wales,2218,2.6615,39.547
32,102,Barton,New South Wales,2220,5.144,39.547
33,102,Barton,New South Wales,2222,2.5457,39.547
34,103,Bennelong,New South Wales,2066,9.5786,58.691
35,103,Bennelong,New South Wales,2067,5.8196,58.691
36,103,Bennelong,New South Wales,2070,7.4617,58.691
