Lga Name21,Lga Code21,Ste Name21,Gcc Name21,STE NAME21 (GCCSA 2021 AUST GDA2020.shp),Index
Adelaide,40070,South Australia,Greater Adelaide,South Australia,1
Adelaide Hills,40120,South Australia,Greater Adelaide,South Australia,2
Adelaide Hills,40120,South Australia,Rest of SA,South Australia,3
Adelaide Plains,40150,South Australia,Greater Adelaide,South Australia,4
Adelaide Plains,40150,South Australia,Rest of SA,South Australia,5
Albany,50080,Western Australia,Rest of WA,Western Australia,6
Albury,10050,New South Wales,Rest of NSW,New South Wales,7
Albury,10050,New South Wales,Rest of Vic.,Victoria,8
Alexandrina,40220,South Australia,Greater Adelaide,South Australia,9
Alexandrina,40220,South Australia,Rest of SA,South Australia,10
Alice Springs,70200,Northern Territory,Rest of NT,Northern Territory,11
Alpine,20110,Victoria,Rest of Vic.,Victoria,12
Anangu Pitjantjatjara Yunkunytjatjara,40250,South Australia,Rest of NT,Northern Territory,13
Anangu Pitjantjatjara Yunkunytjatjara,40250,South Australia,Rest of SA,South Australia,14
Anangu Pitjantjatjara Yunkunytjatjara,40250,South Australia,Rest of WA,Western Australia,15
Ararat,20260,Victoria,Rest of Vic.,Victoria,16
Armadale,50210,Western Australia,Greater Perth,Western Australia,17
Armadale,50210,Western Australia,Rest of WA,Western Australia,18
Armidale Regional,10180,New South Wales,Rest of NSW,New South Wales,19
Ashburton,50250,Western Australia,Rest of WA,Western Australia,20
Augusta Margaret River,50280,Western Australia,Rest of WA,Western Australia,21
Aurukun,30250,Queensland,Rest of Qld,Queensland,22
Ballarat,20570,Victoria,Rest of Vic.,Victoria,23
Ballina,10250,New South Wales,Rest of NSW,New South Wales,24
Balonne,30300,Queensland,Rest of NSW,New South Wales,25
Balonne,30300,Queensland,Rest of Qld,Queensland,26
Balranald,10300,New South Wales,Rest of NSW,New South Wales,27
Balranald,10300,New South Wales,Rest of Vic.,Victoria,28
Banana,30370,Queensland,Rest of Qld,Queensland,29
Banyule,20660,Victoria,Greater Melbourne,Victoria,30
Barcaldine,30410,Queensland,Rest of Qld,Queensland,31
Barcoo,30450,Queensland,Rest of Qld,Queensland,32
Barcoo,30450,Queensland,Rest of SA,South Australia,33
Barkly,70420,Northern Territory,Rest of NT,Northern Territory,34
Barkly,70420,Northern Territory,Rest of Qld,Queensland,35
Barossa,40310,South Australia,Greater Adelaide,South Australia,36
Barossa,40310,South Australia,Rest of SA,South Australia,37
Barunga West,40430,South Australia,Rest of SA,South Australia,38
Bass Coast,20740,Victoria,Greater Melbourne,Victoria,39
Bass Coast,20740,Victoria,Rest of Vic.,Victoria,40
Bassendean,50350,Western Australia,Greater Perth,Western Australia,41
Bathurst Regional,10470,New South Wales,Rest of NSW,New South Wales,42
Baw Baw,20830,Victoria,Greater Melbourne,Victoria,43
Baw Baw,20830,Victoria,Rest of Vic.,Victoria,44
Bayside (NSW),10500,New South Wales,Greater Sydney,New South Wales,45
Bayside (Vic.),20910,Victoria,Greater Melbourne,Victoria,46
Bayswater,50420,Western Australia,Greater Perth,Western Australia,47
Bega Valley,10550,New South Wales,Rest of NSW,New South Wales,48
Bega Valley,10550,New South Wales,Rest of Vic.,Victoria,49
Bellingen,10600,New South Wales,Rest of NSW,New South Wales,50
Belmont,50490,Western Australia,Greater Perth,Western Australia,51
Belyuen,70540,Northern Territory,Rest of NT,Northern Territory,52
Benalla,21010,Victoria,Rest of Vic.,Victoria,53
Berri Barmera,40520,South Australia,Rest of SA,South Australia,54
Berrigan,10650,New South Wales,Rest of NSW,New South Wales,55
Berrigan,10650,New South Wales,Rest of Vic.,Victoria,56
Beverley,50560,Western Australia,Greater Perth,Western Australia,57
Beverley,50560,Western Australia,Rest of WA,Western Australia,58
Blackall Tambo,30760,Queensland,Rest of Qld,Queensland,59
