Row Number,LGA Code 2021,LGA,State,Postcode,Postcode Area (sq km),LGA Area (sq km)
1,10050,Albury,New South Wales,2640,1029.4042,305.6386
2,10050,Albury,New South Wales,2641,33.5384,305.6386
3,10050,Albury,New South Wales,2642,4076.8,305.6386
4,10180,Armidale Regional,New South Wales,2350,4543.2274,7809.4406
5,10180,Armidale Regional,New South Wales,2354,7142.1491,7809.4406
6,10180,Armidale Regional,New South Wales,2358,1905.5433,7809.4406
7,10180,Armidale Regional,New South Wales,2359,1294.1139,7809.4406
8,10180,Armidale Regional,New South Wales,2365,3804.6687,7809.4406
9,10180,Armidale Regional,New South Wales,2369,347.5058,7809.4406
10,10180,Armidale Regional,New South Wales,2370,4769.4223,7809.4406
11,10180,Armidale Regional,New South Wales,2440,3604.2396,7809.4406
12,10180,Armidale Regional,New South Wales,2453,2157.9951,7809.4406
13,10180,Armidale Regional,New South Wales,2454,975.6046,7809.4406
14,10250,Ballina,New South Wales,2471,442.1506,484.9692
15,10250,Ballina,New South Wales,2472,466.4076,484.9692
16,10250,Ballina,New South Wales,2477,227.642,484.9692
17,10250,Ballina,New South Wales,2478,185.6804,484.9692
18,10250,Ballina,New South Wales,2479,164.5709,484.9692
19,10250,Ballina,New South Wales,2480,1369.4565,484.9692
20,10250,Ballina,New South Wales,2481,131.029,484.9692
21,10300,Balranald,New South Wales,2648,23909.7281,21690.7493
22,10300,Balranald,New South Wales,2711,24180.255,21690.7493
23,10300,Balranald,New South Wales,2715,13749.9032,21690.7493
24,10300,Balranald,New South Wales,2736,213.1077,21690.7493
25,10300,Balranald,New South Wales,2737,3345.8754,21690.7493
26,10300,Balranald,New South Wales,2738,2066.851,21690.7493
27,10300,Balranald,New South Wales,2878,18261.1234,21690.7493
28,10470,Bathurst Regional,New South Wales,2583,3382.6891,3817.8645
29,10470,Bathurst Regional,New South Wales,2787,4632.7818,3817.8645
30,10470,Bathurst Regional,New South Wales,2793,648.0055,3817.8645
31,10470,Bathurst Regional,New South Wales,2795,5307.5248,3817.8645
32,10470,Bathurst Regional,New South Wales,2798,268.7089,3817.8645
33,10470,Bathurst Regional,New South Wales,2799,630.7998,3817.8645
34,10470,Bathurst Regional,New South Wales,2800,1993.9511,3817.8645
35,10470,Bathurst Regional,New South Wales,2847,98.897,3817.8645
36,10470,Bathurst Regional,New South Wales,2850,6005.3758,3817.8645
37,10500,Bayside (NSW),New South Wales,2015,4.2157,50.6204
38,10500,Bayside (NSW),New South Wales,2018,3.9305,50.6204
39,10500,Bayside (NSW),New South Wales,2019,7.3691,50.6204
40,10500,Bayside (NSW),New South Wales,2020,11.9607,50.6204
41,10500,Bayside (NSW),New South Wales,2032,2.475,50.6204
42,10500,Bayside (NSW),New South Wales,2033,2.6691,50.6204
43,10500,Bayside (NSW),New South Wales,2035,8.1207,50.6204
44,10500,Bayside (NSW),New South Wales,2036,15.7131,50.6204
45,10500,Bayside (NSW),New South Wales,2044,3.8539,50.6204
46,10500,Bayside (NSW),New South Wales,2204,5.7904,50.6204
47,10500,Bayside (NSW),New South Wales,2205,4.244,50.6204
48,10500,Bayside (NSW),New South Wales,2206,5.9786,50.6204
49,10500,Bayside (NSW),New South Wales,2207,7.1852,50.6204
50,10500,Bayside (NSW),New South Wales,2208,4.459,50.6204
51,10500,Bayside (NSW),New South Wales,2216,5.5962,50.6204
52,10500,Bayside (NSW),New South Wales,2217,6.2487,50.6204
53,10500,Bayside (NSW),New South Wales,2218,2.6615,50.6204
54,10500,Bayside (NSW),New South Wales,2219,3.7807,50.6204
55,10500,Bayside (NSW),New South Wales,2220,5.144,50.6204
56,10550,Bega Valley,New South Wales,2545,876.5468,6278.5013
57,10550,Bega Valley,New South Wales,2546,911.2673,6278.5013
58,10550,Bega Valley,New South Wales,2548,120.1179,6278.5013
59,10550,Bega Valley,New South Wales,2549,222.9511,6278.5013
60,10550,Bega Valley,New South Wales,2550,3966.6591,6278.5013
61,10550,Bega Valley,New South Wales,2551,1397.7681,6278.5013
62,10550,Bega Valley,New South Wales,2630,4206.3548,6278.5013
63,10550,Bega Valley,New South Wales,2631,1199.4934,6278.5013
64,10550,Bega Valley,New South Wales,2632,1824.9879,6278.5013
65,10600,Bellingen,New South Wales,2448,115.0676,1600.4338
66,10600,Bellingen,New South Wales,2449,570.7344,1600.4338
67,10600,Bellingen,New South Wales,2450,1019.718,1600.4338
68,10600,Bellingen,New South Wales,2453,2157.9951,1600.4338
69,10600,Bellingen,New South Wales,2454,975.6046,1600.4338
70,10600,Bellingen,New South Wales,2455,48.0551,1600.4338
71,10650,Berrigan,New South Wales,2646,2895.4549,2065.8878
72,10650,Berrigan,New South Wales,2647,357.3501,2065.8878
73,10650,Berrigan,New South Wales,2712,966.5102,2065.8878
74,10650,Berrigan,New South Wales,2713,970.31,2065.8878
75,10650,Berrigan,New South Wales,2714,708.9706,2065.8878
76,10750,Blacktown,New South Wales,2145,27.5671,238.8471
77,10750,Blacktown,New South Wales,2146,6.0077,238.8471
78,10750,Blacktown,New South Wales,2147,15.9973,238.8471
79,10750,Blacktown,New South Wales,2148,37.6817,238.8471
80,10750,Blacktown,New South Wales,2153,25.5852,238.8471
81,10750,Blacktown,New South Wales,2155,36.388,238.8471
82,10750,Blacktown,New South Wales,2164,20.5159,238.8471
83,10750,Blacktown,New South Wales,2175,21.9683,238.8471
84,10750,Blacktown,New South Wales,2178,54.3241,238.8471
85,10750,Blacktown,New South Wales,2747,55.0667,238.8471
86,10750,Blacktown,New South Wales,2756,1486.8709,238.8471
87,10750,Blacktown,New South Wales,2759,15.5979,238.8471
88,10750,Blacktown,New South Wales,2760,19.9308,238.8471
89,10750,Blacktown,New South Wales,2761,14.7648,238.8471
90,10750,Blacktown,New South Wales,2762,12.5171,238.8471
91,10750,Blacktown,New South Wales,2763,13.0157,238.8471
92,10750,Blacktown,New South Wales,2765,127.5271,238.8471
93,10750,Blacktown,New South Wales,2766,27.2383,238.8471
94,10750,Blacktown,New South Wales,2767,10.1088,238.8471
95,10750,Blacktown,New South Wales,2768,9.0194,238.8471
96,10750,Blacktown,New South Wales,2769,4.6534,238.8471
97,10750,Blacktown,New South Wales,2770,24.7303,238.8471
98,10800,Bland,New South Wales,2594,2418.7155,8557.6536
99,10800,Bland,New South Wales,2665,4109.6274,8557.6536
100,10800,Bland,New South Wales,2666,2462.5855,8557.6536
101,10800,Bland,New South Wales,2668,708.1132,8557.6536
102,10800,Bland,New South Wales,2669,6295.346,8557.6536
103,10800,Bland,New South Wales,2671,3297.7351,8557.6536
104,10800,Bland,New South Wales,2672,1794.2389,8557.6536
105,10800,Bland,New South Wales,2675,8518.5583,8557.6536
106,10800,Bland,New South Wales,2721,539.5029,8557.6536
107,10800,Bland,New South Wales,2810,2658.971,8557.6536
108,10800,Bland,New South Wales,2871,3837.8532,8557.6536
109,10850,Blayney,New South Wales,2791,184.9651,1524.647
110,10850,Blayney,New South Wales,2792,369.6931,1524.647
111,10850,Blayney,New South Wales,2793,648.0055,1524.647
112,10850,Blayney,New South Wales,2795,5307.5248,1524.647
113,10850,Blayney,New South Wales,2797,147.8245,1524.647
114,10850,Blayney,New South Wales,2798,268.7089,1524.647
115,10850,Blayney,New South Wales,2799,630.7998,1524.647
116,10850,Blayney,New South Wales,2800,1993.9511,1524.647
117,10900,Blue Mountains,New South Wales,2745,168.7608,1431.1442
118,10900,Blue Mountains,New South Wales,2749,47.0936,1431.1442
119,10900,Blue Mountains,New South Wales,2750,35.3705,1431.1442
120,10900,Blue Mountains,New South Wales,2753,169.4419,1431.1442
121,10900,Blue Mountains,New South Wales,2758,572.1443,1431.1442
122,10900,Blue Mountains,New South Wales,2773,8.3936,1431.1442
123,10900,Blue Mountains,New South Wales,2774,21.2999,1431.1442
124,10900,Blue Mountains,New South Wales,2776,14.932,1431.1442
125,10900,Blue Mountains,New South Wales,2777,54.7327,1431.1442
126,10900,Blue Mountains,New South Wales,2778,20.9602,1431.1442
127,10900,Blue Mountains,New South Wales,2779,12.4995,1431.1442
128,10900,Blue Mountains,New South Wales,2780,38.4603,1431.1442
129,10900,Blue Mountains,New South Wales,2782,21.0358,1431.1442
130,10900,Blue Mountains,New South Wales,2783,7.2887,1431.1442
131,10900,Blue Mountains,New South Wales,2784,6.1389,1431.1442
132,10900,Blue Mountains,New South Wales,2785,128.6447,1431.1442
133,10900,Blue Mountains,New South Wales,2786,84.7603,1431.1442
134,10900,Blue Mountains,New South Wales,2787,4632.7818,1431.1442
135,10900,Blue Mountains,New South Wales,2790,2481.3231,1431.1442
136,10950,Bogan,New South Wales,2824,4843.6,14599.8996
137,10950,Bogan,New South Wales,2825,7188.4073,14599.8996
138,10950,Bogan,New South Wales,2826,1153.7892,14599.8996
139,10950,Bogan,New South Wales,2831,22389.3649,14599.8996
140,10950,Bogan,New South Wales,2835,29975.1826,14599.8996
141,10950,Bogan,New South Wales,2839,12282.839,14599.8996
142,10950,Bogan,New South Wales,2873,3202.9936,14599.8996
143,10950,Bogan,New South Wales,2877,15332.1603,14599.8996
144,11150,Bourke,New South Wales,2831,22389.3649,41598.3722
145,11150,Bourke,New South Wales,2835,29975.1826,41598.3722
146,11150,Bourke,New South Wales,2839,12282.839,41598.3722
147,11150,Bourke,New South Wales,2840,62474.6022,41598.3722
148,11200,Brewarrina,New South Wales,2831,22389.3649,19162.0296
149,11200,Brewarrina,New South Wales,2832,9695.0643,19162.0296
150,11200,Brewarrina,New South Wales,2834,2828.007,19162.0296
151,11200,Brewarrina,New South Wales,2838,3487.8165,19162.0296
152,11200,Brewarrina,New South Wales,2839,12282.839,19162.0296
153,11200,Brewarrina,New South Wales,2840,62474.6022,19162.0296
154,11250,Broken Hill,New South Wales,2880,66191.4077,170.1153
155,11300,Burwood,New South Wales,2046,6.0148,7.1282
156,11300,Burwood,New South Wales,2132,2.4354,7.1282
157,11300,Burwood,New South Wales,2133,2.5503,7.1282
158,11300,Burwood,New South Wales,2134,2.4456,7.1282
159,11300,Burwood,New South Wales,2135,6.5375,7.1282
160,11300,Burwood,New South Wales,2136,3.4638,7.1282
161,11300,Burwood,New South Wales,2137,7.3557,7.1282
162,11300,Burwood,New South Wales,2191,1.7826,7.1282
163,11300,Burwood,New South Wales,2194,3.3734,7.1282
164,11350,Byron,New South Wales,2477,227.642,565.8027
165,11350,Byron,New South Wales,2479,164.5709,565.8027
166,11350,Byron,New South Wales,2480,1369.4565,565.8027
167,11350,Byron,New South Wales,2481,131.029,565.8027
168,11350,Byron,New South Wales,2482,180.2681,565.8027
169,11350,Byron,New South Wales,2483,182.7314,565.8027
170,11350,Byron,New South Wales,2484,972.2983,565.8027
171,11400,Cabonne,New South Wales,2792,369.6931,6022.3496
172,11400,Cabonne,New South Wales,2795,5307.5248,6022.3496
173,11400,Cabonne,New South Wales,2798,268.7089,6022.3496
174,11400,Cabonne,New South Wales,2799,630.7998,6022.3496
175,11400,Cabonne,New South Wales,2800,1993.9511,6022.3496
176,11400,Cabonne,New South Wales,2804,878.0498,6022.3496
177,11400,Cabonne,New South Wales,2805,289.854,6022.3496
178,11400,Cabonne,New South Wales,2806,519.6961,6022.3496
179,11400,Cabonne,New South Wales,2818,471.7655,6022.3496
180,11400,Cabonne,New South Wales,2820,2438.751,6022.3496
181,11400,Cabonne,New South Wales,2830,3017.4938,6022.3496
182,11400,Cabonne,New South Wales,2850,6005.3758,6022.3496
183,11400,Cabonne,New South Wales,2864,438.2457,6022.3496
184,11400,Cabonne,New South Wales,2865,620.1745,6022.3496
185,11400,Cabonne,New South Wales,2866,1198.7089,6022.3496
186,11400,Cabonne,New South Wales,2867,1042.378,6022.3496
187,11400,Cabonne,New South Wales,2868,777.9814,6022.3496
188,11400,Cabonne,New South Wales,2869,2103.7978,6022.3496
189,11400,Cabonne,New South Wales,2870,2453.9995,6022.3496
190,11400,Cabonne,New South Wales,2871,3837.8532,6022.3496
191,11450,Camden,New South Wales,2179,36.53,201.5278
192,11450,Camden,New South Wales,2556,40.2134,201.5278
193,11450,Camden,New South Wales,2557,37.1205,201.5278
194,11450,Camden,New South Wales,2558,7.6039,201.5278
195,11450,Camden,New South Wales,2559,4.3495,201.5278
196,11450,Camden,New South Wales,2563,11.5603,201.5278
197,11450,Camden,New South Wales,2565,29.7009,201.5278
198,11450,Camden,New South Wales,2566,28.3019,201.5278
199,11450,Camden,New South Wales,2567,31.1557,201.5278
200,11450,Camden,New South Wales,2570,469.0775,201.5278
201,11450,Camden,New South Wales,2745,168.7608,201.5278
202,11500,Campbelltown (NSW),New South Wales,2167,6.9946,311.4117
203,11500,Campbelltown (NSW),New South Wales,2170,54.319,311.4117
204,11500,Campbelltown (NSW),New South Wales,2173,192.8683,311.4117
205,11500,Campbelltown (NSW),New South Wales,2174,6.0563,311.4117
206,11500,Campbelltown (NSW),New South Wales,2179,36.53,311.4117
207,11500,Campbelltown (NSW),New South Wales,2508,162.241,311.4117
208,11500,Campbelltown (NSW),New South Wales,2557,37.1205,311.4117
209,11500,Campbelltown (NSW),New South Wales,2558,7.6039,311.4117
210,11500,Campbelltown (NSW),New South Wales,2559,4.3495,311.4117
211,11500,Campbelltown (NSW),New South Wales,2560,411.3136,311.4117
212,11500,Campbelltown (NSW),New South Wales,2563,11.5603,311.4117
213,11500,Campbelltown (NSW),New South Wales,2564,9.0236,311.4117
214,11500,Campbelltown (NSW),New South Wales,2565,29.7009,311.4117
215,11500,Campbelltown (NSW),New South Wales,2566,28.3019,311.4117
216,11500,Campbelltown (NSW),New South Wales,2567,31.1557,311.4117
217,11500,Campbelltown (NSW),New South Wales,2568,34.0936,311.4117
218,11500,Campbelltown (NSW),New South Wales,2570,469.0775,311.4117
219,11520,Canada Bay,New South Wales,2045,2.3828,19.9239
220,11520,Canada Bay,New South Wales,2046,6.0148,19.9239
221,11520,Canada Bay,New South Wales,2047,2.3101,19.9239
222,11520,Canada Bay,New South Wales,2127,8.1408,19.9239
223,11520,Canada Bay,New South Wales,2131,3.4144,19.9239
224,11520,Canada Bay,New South Wales,2132,2.4354,19.9239
225,11520,Canada Bay,New South Wales,2134,2.4456,19.9239
226,11520,Canada Bay,New South Wales,2135,6.5375,19.9239
227,11520,Canada Bay,New South Wales,2137,7.3557,19.9239
228,11520,Canada Bay,New South Wales,2138,3.7811,19.9239
229,11520,Canada Bay,New South Wales,2140,3.7487,19.9239
230,11570,Canterbury-Bankstown,New South Wales,2131,3.4144,110.2374
231,11570,Canterbury-Bankstown,New South Wales,2133,2.5503,110.2374
232,11570,Canterbury-Bankstown,New South Wales,2136,3.4638,110.2374
233,11570,Canterbury-Bankstown,New South Wales,2141,11.9359,110.2374
234,11570,Canterbury-Bankstown,New South Wales,2143,4.3104,110.2374
235,11570,Canterbury-Bankstown,New South Wales,2144,8.5637,110.2374
236,11570,Canterbury-Bankstown,New South Wales,2161,11.2122,110.2374
237,11570,Canterbury-Bankstown,New South Wales,2162,5.7908,110.2374
238,11570,Canterbury-Bankstown,New South Wales,2163,6.3533,110.2374
239,11570,Canterbury-Bankstown,New South Wales,2165,11.12,110.2374
240,11570,Canterbury-Bankstown,New South Wales,2166,15.2543,110.2374
241,11570,Canterbury-Bankstown,New South Wales,2170,54.319,110.2374
242,11570,Canterbury-Bankstown,New South Wales,2172,3.6787,110.2374
243,11570,Canterbury-Bankstown,New South Wales,2190,9.7772,110.2374
244,11570,Canterbury-Bankstown,New South Wales,2191,1.7826,110.2374
245,11570,Canterbury-Bankstown,New South Wales,2192,2.731,110.2374
246,11570,Canterbury-Bankstown,New South Wales,2193,4.1963,110.2374
247,11570,Canterbury-Bankstown,New South Wales,2194,3.3734,110.2374
248,11570,Canterbury-Bankstown,New South Wales,2195,3.5488,110.2374
249,11570,Canterbury-Bankstown,New South Wales,2196,7.0679,110.2374
250,11570,Canterbury-Bankstown,New South Wales,2197,2.9286,110.2374
251,11570,Canterbury-Bankstown,New South Wales,2198,3.3233,110.2374
252,11570,Canterbury-Bankstown,New South Wales,2199,4.6181,110.2374
253,11570,Canterbury-Bankstown,New South Wales,2200,13.9792,110.2374
254,11570,Canterbury-Bankstown,New South Wales,2203,2.0929,110.2374
255,11570,Canterbury-Bankstown,New South Wales,2204,5.7904,110.2374
256,11570,Canterbury-Bankstown,New South Wales,2205,4.244,110.2374
257,11570,Canterbury-Bankstown,New South Wales,2206,5.9786,110.2374
258,11570,Canterbury-Bankstown,New South Wales,2207,7.1852,110.2374
259,11570,Canterbury-Bankstown,New South Wales,2208,4.459,110.2374
260,11570,Canterbury-Bankstown,New South Wales,2209,4.2502,110.2374
