LGA_CODE_2016,LGA_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_2016_TO_2021
10050.0,Albury (C),10050,Albury,1.0
10250.0,Ballina (A),10250,Ballina,1.0
10300.0,Balranald (A),10300,Balranald,1.0
10470.0,Bathurst Regional (A),10470,Bathurst Regional,1.0
10550.0,Bega Valley (A),10550,Bega Valley,1.0
10600.0,Bellingen (A),10600,Bellingen,1.0
10650.0,Berrigan (A),10650,Berrigan,1.0
10800.0,Bland (A),10800,Bland,1.0
10850.0,Blayney (A),10850,Blayney,1.0
10900.0,Blue Mountains (C),10900,Blue Mountains,1.0
10950.0,Bogan (A),10950,Bogan,1.0
11100.0,Botany Bay (C),10500,Bayside (NSW),1.0
11150.0,Bourke (A),11150,Bourke,1.0
11200.0,Brewarrina (A),11200,Brewarrina,1.0
11250.0,Broken Hill (C),11250,Broken Hill,1.0
11300.0,Burwood (A),11300,Burwood,1.0
11350.0,Byron (A),11350,Byron,1.0
11400.0,Cabonne (A),11400,Cabonne,1.0
11520.0,Canada Bay (A),11520,Canada Bay,1.0
11570.0,Canterbury-Bankstown (A),11570,Canterbury-Bankstown,1.0
11600.0,Carrathool (A),11600,Carrathool,1.0
11650.0,Central Coast (C) (NSW),11650,Central Coast (NSW),1.0
11700.0,Central Darling (A),11700,Central Darling,1.0
11720.0,Cessnock (C),11720,Cessnock,1.0
11730.0,Clarence Valley (A),11730,Clarence Valley,1.0
11800.0,Coffs Harbour (C),11800,Coffs Harbour,1.0
12000.0,Coolamon (A),12000,Coolamon,1.0
12150.0,Coonamble (A),12150,Coonamble,1.0
12350.0,Cowra (A),12350,Cowra,1.0
12700.0,Dungog (A),12700,Dungog,1.0
12730.0,Edward River (A),12730,Edward River,1.0
12750.0,Eurobodalla (A),12750,Eurobodalla,1.0
12850.0,Fairfield (C),12850,Fairfield,1.0
12870.0,Federation (A),12870,Federation,1.0
12900.0,Forbes (A),12900,Forbes,1.0
12930.0,Georges River (A),12930,Georges River,1.0
12950.0,Gilgandra (A),12950,Gilgandra,1.0
13010.0,Glen Innes Severn (A),13010,Glen Innes Severn,1.0
13310.0,Goulburn Mulwaree (A),13310,Goulburn Mulwaree,1.0
13340.0,Greater Hume Shire (A),13340,Greater Hume Shire,1.0
13450.0,Griffith (C),13450,Griffith,1.0
13510.0,Gundagai (A),12160,Cootamundra-Gundagai Regional,1.0
13550.0,Gunnedah (A),13550,Gunnedah,1.0
13660.0,Gwydir (A),13660,Gwydir,1.0
13800.0,Hawkesbury (C),13800,Hawkesbury,1.0
13850.0,Hay (A),13850,Hay,1.0
13910.0,Hilltops (A),13910,Hilltops,1.0
14000.0,Hornsby (A),14000,Hornsby,1.0
14100.0,Hunters Hill (A),14100,Hunters Hill,1.0
14170.0,Inner West (A),14170,Inner West,1.0
14200.0,Inverell (A),14220,Inverell,1.0
14300.0,Junee (A),14300,Junee,1.0
14350.0,Kempsey (A),14350,Kempsey,1.0
14400.0,Kiama (A),14400,Kiama,1.0
14500.0,Ku-ring-gai (A),14500,Ku-ring-gai,1.0
14550.0,Kyogle (A),14550,Kyogle,1.0
14600.0,Lachlan (A),14600,Lachlan,1.0
14650.0,Lake Macquarie (C),14650,Lake Macquarie,1.0
14700.0,Lane Cove (A),14700,Lane Cove,1.0
14750.0,Leeton (A),14750,Leeton,1.0
14850.0,Lismore (C),14850,Lismore,1.0
14870.0,Lithgow (C),14870,Lithgow,1.0
14900.0,Liverpool (C),14900,Liverpool,1.0
14920.0,Liverpool Plains (A),14920,Liverpool Plains,1.0
14950.0,Lockhart (A),14950,Lockhart,1.0
15050.0,Maitland (C),15050,Maitland,1.0
15240.0,Mid-Coast (A),15240,Mid-Coast,1.0
15270.0,Mid-Western Regional (A),15270,Mid-Western Regional,1.0
15300.0,Moree Plains (A),15300,Moree Plains,1.0
15350.0,Mosman (A),15350,Mosman,1.0
15520.0,Murray River (A),15520,Murray River,1.0
15560.0,Murrumbidgee (A),15560,Murrumbidgee,1.0
15650.0,Muswellbrook (A),15650,Muswellbrook,1.0
15700.0,Nambucca (A),15700,Nambucca Valley,1.0
15750.0,Narrabri (A),15750,Narrabri,1.0
15800.0,Narrandera (A),15800,Narrandera,1.0
15850.0,Narromine (A),15850,Narromine,1.0
15900.0,Newcastle (C),15900,Newcastle,1.0
15950.0,North Sydney (A),15950,North Sydney,1.0
15990.0,Northern Beaches (A),15990,Northern Beaches,1.0
16100.0,Oberon (A),16100,Oberon,1.0
16150.0,Orange (C),16150,Orange,1.0
16200.0,Parkes (A),16200,Parkes,1.0
16260.0,Parramatta (C),16260,Parramatta,1.0
16350.0,Penrith (C),16350,Penrith,1.0
16380.0,Port Macquarie-Hastings (A),16380,Port Macquarie-Hastings,1.0
16400.0,Port Stephens (A),16400,Port Stephens,1.0
16490.0,Queanbeyan-Palerang Regional (A),16490,Queanbeyan-Palerang Regional,1.0
16550.0,Randwick (C),16550,Randwick,1.0
16610.0,Richmond Valley (A),16610,Richmond Valley,1.0
