Postcode,Neighbours
0800,0820
0810,"0812, 0820"
0812,"0810, 0820, 0822, 0828"
0820,"0800, 0810, 0812, 0822, 0828"
0822,"0812, 0820, 0828, 0829, 0830, 0832, 0834, 0835, 0836, 0837, 0838, 0839, 0840, 0841, 0845, 0846, 0847, 0852, 0880, 0885, 0886"
0828,"0812, 0820, 0822, 0829, 0830"
0829,"0822, 0828, 0830, 0832, 0835"
0830,"0822, 0828, 0829, 0832, 0835"
0832,"0822, 0829, 0830, 0834, 0835"
0834,"0822, 0832, 0835, 0839"
0835,"0822, 0829, 0830, 0832, 0834, 0836, 0839"
0836,"0822, 0835, 0837"
0837,"0822, 0836, 0838"
0838,"0822, 0837, 0841"
0839,"0822, 0834, 0835"
0840,0822
0841,"0822, 0838"
0845,"0822, 0846"
0846,"0822, 0845"
0847,"0822, 0852"
0850,"0852, 0853"
0852,"0822, 0847, 0850, 0853, 0854, 0860, 0862, 0872, 6743, 6770"
0853,"0850, 0852"
0854,0852
0860,0852
0862,"0852, 0872, 4825, 4828, 4830"
0870,"0872, 0873, 0874, 0875"
0872,"0852, 0862, 0870, 0873, 0874, 0875, 4482, 4825, 4829, 5690, 5724, 5734, 6431, 6440, 6646, 6762, 6770"
0873,"0870, 0872, 0874, 0875"
0874,"0870, 0872, 0873, 0875"
0875,"0870, 0872, 0873, 0874"
0880,0822
0885,0822
0886,0822
2000,"2007, 2008, 2009, 2010, 2011"
2007,"2000, 2008, 2009, 2037, 2050"
2008,"2000, 2007, 2010, 2015, 2016, 2037, 2042, 2050"
2009,"2000, 2007, 2037"
2010,"2000, 2008, 2011, 2016, 2021"
2011,"2000, 2010, 2021, 2027"
2015,"2008, 2016, 2017, 2018, 2020, 2042, 2043, 2044"
2016,"2008, 2010, 2015, 2017, 2021"
2017,"2015, 2016, 2018, 2021, 2033"
2018,"2015, 2017, 2020, 2032, 2033, 2035"
2019,"2020, 2035, 2036"
2020,"2015, 2018, 2019, 2035, 2044, 2205, 2216"
2021,"2010, 2011, 2016, 2017, 2022, 2025, 2027, 2031, 2033"
2022,"2021, 2023, 2024, 2025, 2026, 2031"
2023,"2022, 2025, 2026, 2027, 2028, 2029"
2024,"2022, 2026, 2031"
2025,"2021, 2022, 2023, 2027, 2028"
2026,"2022, 2023, 2024, 2029, 2030"
2027,"2011, 2021, 2023, 2025, 2028, 2029"
2028,"2023, 2025, 2027"
2029,"2023, 2026, 2027, 2030"
2030,"2026, 2029"
2031,"2021, 2022, 2024, 2032, 2033, 2034, 2035"
2032,"2018, 2031, 2033, 2035"
2033,"2017, 2018, 2021, 2031, 2032"
2034,"2031, 2035"
2035,"2018, 2019, 2020, 2031, 2032, 2034, 2036"
2036,"2019, 2035"
2037,"2007, 2008, 2009, 2038, 2050"
2038,"2037, 2039, 2040, 2048, 2050"
2039,"2038, 2040, 2041"
2040,"2038, 2039, 2045, 2048, 2049, 2130"
2041,2039
2042,"2008, 2015, 2043, 2044, 2048, 2050, 2204"
2043,"2015, 2042, 2044"
2044,"2015, 2020, 2042, 2043, 2204, 2205"
2045,"2040, 2046, 2130, 2131"
2046,"2045, 2047, 2131, 2132, 2134, 2137"
2047,2046
2048,"2038, 2040, 2042, 2049, 2050, 2204"
2049,"2040, 2048, 2130, 2203, 2204"
2050,"2007, 2008, 2037, 2038, 2042, 2048"
2060,"2061, 2062, 2065, 2089"
2061,2060
2062,"2060, 2063, 2065, 2089, 2090"
2063,"2062, 2065, 2068"
2064,"2065, 2066, 2067, 2068"
2065,"2060, 2062, 2063, 2064, 2066, 2068"
2066,"2064, 2065, 2067, 2113"
2067,"2064, 2066, 2068, 2069, 2070, 2113"
2068,"2063, 2064, 2065, 2067, 2069"
2069,"2067, 2068, 2070, 2087"
2070,"2067, 2069, 2071, 2087, 2113"
2071,"2070, 2072, 2073, 2075, 2085, 2086, 2087, 2113"
2072,"2071, 2073, 2075"
2073,"2071, 2072, 2074, 2075, 2113"
2074,"2073, 2075, 2076, 2077, 2079, 2084, 2113, 2120, 2121, 2122"
2075,"2071, 2072, 2073, 2074, 2084, 2085"
2076,"2074, 2077, 2120"
2077,"2074, 2076, 2079, 2080, 2120, 2158, 2159"
2079,"2074, 2077, 2080"
2080,"2077, 2079, 2081, 2082, 2159"
2081,"2080, 2082, 2083"
2082,"2080, 2081, 2157, 2159"
2083,"2081, 2250, 2256, 2775"
2084,"2074, 2075, 2085, 2101, 2104, 2105, 2108"
2085,"2071, 2075, 2084, 2086, 2099, 2101"
2086,"2071, 2085, 2087, 2099, 2100"
2087,"2069, 2070, 2071, 2086, 2092, 2100"
2088,2090
2089,"2060, 2062, 2090"
2090,"2062, 2088, 2089"
2092,"2087, 2093, 2100"
2093,"2092, 2094, 2095, 2100"
2094,"2093, 2095"
2095,"2093, 2094, 2096, 2100"
2096,"2095, 2099, 2100"
2097,"2099, 2101"
2099,"2085, 2086, 2096, 2097, 2100, 2101"
2100,"2086, 2087, 2092, 2093, 2095, 2096, 2099"
2101,"2084, 2085, 2097, 2099, 2102, 2104"
2102,"2101, 2103, 2104"
2103,"2102, 2104, 2106"
2104,"2084, 2101, 2102, 2103, 2105"
2105,"2084, 2104"
2106,"2103, 2107"
2107,"2106, 2108"
2108,"2084, 2107"
2110,"2111, 2113"
2111,"2110, 2112, 2113"
2112,"2111, 2113, 2114, 2122"
2113,"2066, 2067, 2070, 2071, 2073, 2074, 2110, 2111, 2112, 2122"
2114,"2112, 2115, 2122"
2115,"2114, 2116, 2117, 2122, 2128"
2116,"2115, 2117, 2128, 2142, 2150"
2117,"2115, 2116, 2118, 2122, 2150, 2151"
2118,"2117, 2119, 2121, 2122, 2125, 2151"
2119,"2118, 2120, 2121, 2125"
2120,"2074, 2076, 2077, 2119, 2121, 2125, 2126, 2158"
2121,"2074, 2118, 2119, 2120, 2122"
2122,"2074, 2112, 2113, 2114, 2115, 2117, 2118, 2121"
2125,"2118, 2119, 2120, 2126, 2151, 2153, 2154"
2126,"2120, 2125, 2154, 2158"
2127,"2128, 2138, 2140, 2141"
2128,"2115, 2116, 2127, 2141, 2142, 2144"
2130,"2040, 2045, 2049, 2131, 2203"
2131,"2045, 2046, 2130, 2132, 2133, 2193, 2203"
2132,"2046, 2131, 2133, 2134, 2136"
2133,"2131, 2132, 2136, 2191, 2193, 2194"
2134,"2046, 2132, 2135, 2136, 2137"
2135,"2134, 2136, 2137, 2140, 2141, 2190"
2136,"2132, 2133, 2134, 2135, 2190, 2191"
2137,"2046, 2134, 2135, 2138, 2140"
2138,"2127, 2137, 2140"
2140,"2127, 2135, 2137, 2138, 2141"
2141,"2127, 2128, 2135, 2140, 2143, 2144, 2190"
2142,"2116, 2128, 2144, 2150, 2160, 2161, 2162"
2143,"2141, 2144, 2162, 2190, 2199"
2144,"2128, 2141, 2142, 2143, 2162"
2145,"2146, 2148, 2150, 2151, 2152, 2160, 2164"
2146,"2145, 2147, 2148, 2152, 2153"
2147,"2146, 2148, 2153, 2768"
2148,"2145, 2146, 2147, 2164, 2175, 2763, 2766, 2767, 2768"
2150,"2116, 2117, 2142, 2145, 2151, 2160"
2151,"2117, 2118, 2125, 2145, 2150, 2152, 2153"
2152,"2145, 2146, 2151, 2153"
2153,"2125, 2146, 2147, 2151, 2152, 2154, 2155, 2768"
2154,"2125, 2126, 2153, 2155, 2156, 2158"
2155,"2153, 2154, 2156, 2762, 2765, 2768, 2769"
2156,"2154, 2155, 2157, 2158, 2765"
2157,"2082, 2156, 2158, 2159, 2756, 2765, 2775"
2158,"2077, 2120, 2126, 2154, 2156, 2157, 2159"
2159,"2077, 2080, 2082, 2157, 2158"
2160,"2142, 2145, 2150, 2161, 2164"
2161,"2142, 2160, 2162, 2164, 2165"
2162,"2142, 2143, 2144, 2161, 2163, 2165, 2197, 2199"
2163,"2162, 2165, 2166, 2197, 2198"
2164,"2145, 2148, 2160, 2161, 2165, 2175, 2176"
2165,"2161, 2162, 2163, 2164, 2166, 2176"
2166,"2163, 2165, 2170, 2176, 2177, 2198"
2167,"2170, 2173, 2174, 2564, 2565"
2168,"2170, 2171, 2177"
2170,"2166, 2167, 2168, 2171, 2172, 2173, 2174, 2177, 2198, 2200, 2214, 2565"
2171,"2168, 2170, 2174, 2176, 2177, 2178, 2179"
2172,"2170, 2173, 2213, 2214, 2234"
2173,"2167, 2170, 2172, 2233, 2234, 2508, 2560, 2564, 2565, 2566"
2174,"2167, 2170, 2171, 2179, 2565"
2175,"2148, 2164, 2176, 2178, 2759, 2766"
2176,"2164, 2165, 2166, 2171, 2175, 2177, 2178"
2177,"2166, 2168, 2170, 2171, 2176"
2178,"2171, 2175, 2176, 2179, 2555, 2556, 2557, 2745, 2748, 2759, 2766"
2179,"2171, 2174, 2178, 2557, 2565, 2566"
2190,"2135, 2136, 2141, 2143, 2191, 2192, 2195, 2196, 2199, 2200"
2191,"2133, 2136, 2190, 2192, 2194"
2192,"2190, 2191, 2194, 2195, 2196, 2206, 2208"
2193,"2131, 2133, 2194, 2203, 2206"
2194,"2133, 2191, 2192, 2193, 2206"
2195,"2190, 2192, 2196"
2196,"2190, 2192, 2195, 2200, 2208, 2209, 2210, 2211"
2197,"2162, 2163, 2198, 2199"
2198,"2163, 2166, 2170, 2197, 2199, 2200"
2199,"2143, 2162, 2190, 2197, 2198, 2200"
2200,"2170, 2190, 2196, 2198, 2199, 2211, 2212, 2214"
2203,"2049, 2130, 2131, 2193, 2204, 2206"
2204,"2042, 2044, 2048, 2049, 2203, 2205, 2206"
