Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2000,Sydney,6118,6118,51097,1.0,0.11973305673522908,2000,Sydney,1.0,0.9999232
2007,Sydney,2045,2045,51097,1.0,0.0400219190950545,2007,Sydney,1.0,0.9999232
2008,Sydney,3310,3310,51097,1.0,0.0647787541342936,2008,Sydney,1.0,0.9999232
2009,Sydney,3275,3275,51097,1.0,0.06409378241384034,2009,Sydney,1.0,0.9999232
2010,Wentworth,151,7704,24914,0.019600207684319835,0.006060849321666533,2010,Wentworth,1.0,0.9998276
2010,Sydney,7553,7704,51097,0.9803997923156802,0.14781689727381256,2010,Sydney,1.0,0.9999232
2011,Sydney,3775,6349,51097,0.594581823909277,0.07387909270602971,2011,Sydney,1.0,0.9999232
2011,Wentworth,2574,6349,24914,0.40541817609072295,0.10331540499317653,2011,Wentworth,1.0,0.9998276
2015,Sydney,2173,2173,51097,1.0,0.04252695852985498,2015,Sydney,1.0,0.9999232
2016,Sydney,3584,3584,51097,1.0,0.07014110417441337,2016,Sydney,1.0,0.9999232
2017,Sydney,7217,7217,51097,1.0,0.1412411687574613,2017,Sydney,1.0,0.9999232
2018,Sydney,1260,2865,51097,0.4397905759162304,0.0246589819363172,2018,Sydney,1.0,0.9999232
2018,Kingsford Smith,1605,2865,29171,0.5602094240837696,0.055020396969593086,2018,Kingsford Smith,1.0,1.0
2019,Kingsford Smith,1211,1211,29171,1.0,0.04151383223064002,2019,Kingsford Smith,1.0,1.0
2020,Kingsford Smith,2479,2479,29171,1.0,0.0849816598676768,2020,Kingsford Smith,1.0,1.0
2021,Wentworth,2997,2997,24914,1.0,0.1202938107088384,2021,Wentworth,1.0,0.9998276
2022,Wentworth,2101,2101,24914,1.0,0.08433009552861845,2022,Wentworth,1.0,0.9998276
2023,Wentworth,1264,1264,24914,1.0,0.05073452677209601,2023,Wentworth,1.0,0.9998276
2024,Wentworth,1615,1615,24914,1.0,0.06482299108934736,2024,Wentworth,1.0,0.9998276
2025,Wentworth,1048,1048,24914,1.0,0.04206470257686441,2025,Wentworth,1.0,0.9998276
2026,Wentworth,6792,6792,24914,1.0,0.2726178052500602,2026,Wentworth,1.0,0.9998276
2027,Wentworth,1357,1357,24914,1.0,0.05446736774504295,2027,Wentworth,1.0,0.9998276
2028,Wentworth,802,802,24914,1.0,0.032190736132295096,2028,Wentworth,1.0,0.9998276
2029,Wentworth,1633,1633,24914,1.0,0.06554547643894999,2029,Wentworth,1.0,0.9998276
2030,Wentworth,1090,1090,24914,1.0,0.043750501725937224,2030,Wentworth,1.0,0.9998276
2031,Wentworth,1490,6456,24914,0.23079306071871128,0.05980573171710685,2031,Wentworth,1.0,0.9998276
2031,Kingsford Smith,4966,6456,29171,0.7692069392812887,0.17023756470467244,2031,Kingsford Smith,1.0,1.0
2032,Kingsford Smith,3300,3300,29171,1.0,0.11312604984402318,2032,Kingsford Smith,1.0,1.0
2033,Kingsford Smith,420,420,29171,1.0,0.014397860889239313,2052,Kingsford Smith,1.0,1.0
2033,Kingsford Smith,2252,2252,29171,1.0,0.0771999588632546,2033,Kingsford Smith,1.0,1.0
2034,Kingsford Smith,4274,4274,29171,1.0,0.14651537485859245,2034,Kingsford Smith,1.0,1.0
2035,Kingsford Smith,5008,5008,29171,1.0,0.1716773507935964,2035,Kingsford Smith,1.0,1.0
2036,Kingsford Smith,3656,3656,29171,1.0,0.12532995097871175,2036,Kingsford Smith,1.0,1.0
2037,Sydney,4002,4002,51097,1.0,0.07832162357868368,2037,Sydney,1.0,0.9999232
2038,Sydney,9,1543,51097,0.005832793259883344,0.00017613558525940857,2038,Sydney,1.0,0.9999232
2038,Grayndler,1534,1543,24703,0.9941672067401166,0.06209772092458406,2038,Grayndler,1.0,0.9957541
2039,Grayndler,1352,1352,24703,1.0,0.05473019471319273,2039,Grayndler,1.0,0.9957541
2040,Grayndler,3201,3201,24703,1.0,0.12957940331133871,2040,Grayndler,1.0,0.9957541
2041,Grayndler,2444,2444,24703,1.0,0.0989353519815407,2041,Grayndler,1.0,0.9957541
2042,Grayndler,2176,4362,24703,0.4988537368179734,0.08808646723070072,2042,Grayndler,1.0,0.9957541
2042,Sydney,2186,4362,51097,0.5011462631820266,0.0427813765974519,2042,Sydney,1.0,0.9999232
2043,Sydney,1714,1714,51097,1.0,0.03354404368162515,2043,Sydney,1.0,0.9999232
2044,Barton,313,914,21228,0.3424507658643326,0.014744676841906916,2044,Barton,1.0,0.997642
2044,Grayndler,601,914,24703,0.6575492341356673,0.024329028862891146,2044,Grayndler,1.0,0.9957541
2045,Grayndler,385,385,24703,1.0,0.01558515160102012,2045,Grayndler,1.0,0.9957541
2046,Reid,3305,3305,25455,1.0,0.12983696719701435,2046,Reid,1.0,0.9994758
2047,Reid,1680,1680,25455,1.0,0.06599882144961697,2047,Reid,1.0,0.9994758
2048,Grayndler,1364,1364,24703,1.0,0.05521596567218556,2048,Grayndler,1.0,0.9957541
2049,Grayndler,2080,2080,24703,1.0,0.08420029955875805,2049,Grayndler,1.0,0.9957541
2050,Grayndler,90,2928,24703,0.030737704918032786,0.0036432821924462615,2050,Grayndler,1.0,0.9957541
2050,Sydney,2838,2928,51097,0.9692622950819673,0.055541421218466835,2050,Sydney,1.0,0.9999232
2060,North Sydney,3402,3402,25471,1.0,0.13356366063366182,2060,North Sydney,1.0,0.9975899
2061,North Sydney,1741,1741,25471,1.0,0.06835224372816144,2061,North Sydney,1.0,0.9975899
2062,North Sydney,1283,1283,25471,1.0,0.050371010168426836,2062,North Sydney,1.0,0.9975899
2063,North Sydney,373,373,25471,1.0,0.014644105060657218,2063,North Sydney,1.0,0.9975899
2064,North Sydney,1769,1769,25471,1.0,0.06945153311609281,2064,North Sydney,1.0,0.9975899
2065,North Sydney,5959,5959,25471,1.0,0.2339523379529661,2065,North Sydney,1.0,0.9975899
2066,North Sydney,3956,3956,25471,1.0,0.15531388638058968,2066,North Sydney,1.0,0.9975899
2067,Bennelong,11,4248,20888,0.0025894538606403015,0.0005266181539639984,2067,Bennelong,1.0,1.0
2067,North Sydney,2447,4248,25471,0.5760357815442562,0.09607004043814533,2067,North Sydney,1.0,0.9975899
2067,Bradfield,1790,4248,12704,0.4213747645951036,0.14090050377833754,2067,Bradfield,1.0,1.0
2068,North Sydney,1273,1273,25471,1.0,0.049978406815594206,2068,North Sydney,1.0,0.9975899
2069,Bradfield,805,805,12704,1.0,0.06336586901763225,2069,Bradfield,1.0,1.0
2070,Bradfield,948,948,12704,1.0,0.07462216624685139,2070,Bradfield,1.0,1.0
2071,Bradfield,897,897,12704,1.0,0.07060768261964735,2071,Bradfield,1.0,1.0
2072,Bradfield,737,737,12704,1.0,0.0580132241813602,2072,Bradfield,1.0,1.0
2073,Bradfield,753,753,12704,1.0,0.05927267002518892,2073,Bradfield,1.0,1.0
2074,Bradfield,1059,1059,12704,1.0,0.08335957178841309,2074,Bradfield,1.0,1.0
2075,Bradfield,924,924,12704,1.0,0.07273299748110831,2075,Bradfield,1.0,1.0
2076,Berowra,160,1244,6421,0.12861736334405144,0.02491823703472979,2076,Berowra,1.0,0.9974888
2076,Bradfield,1084,1244,12704,0.8713826366559485,0.08532745591939547,2076,Bradfield,1.0,1.0
2077,Berowra,1279,4986,6421,0.2565182511030886,0.1991901572963713,2077,Berowra,1.0,0.9974888
2077,Bradfield,3707,4986,12704,0.7434817488969113,0.2917978589420655,2077,Bradfield,1.0,1.0
2079,Berowra,288,288,6421,1.0,0.044852826662513626,2079,Berowra,1.0,0.9974888
2080,Berowra,71,71,6421,1.0,0.011057467684161345,2080,Berowra,1.0,0.9974888
2081,Berowra,190,190,6421,1.0,0.02959040647874163,2081,Berowra,1.0,0.9974888
2082,Berowra,196,196,6421,1.0,0.030524840367543996,2082,Berowra,1.0,0.9974888
2083,Berowra,74,120,6421,0.6166666666666667,0.011524684628562529,2083,Berowra,1.0,0.9974888
2083,Robertson,46,120,14247,0.38333333333333336,0.0032287499122622305,2083,Robertson,1.0,1.0
2084,Mackellar,143,143,10736,1.0,0.01331967213114754,2084,Mackellar,1.0,1.0
2085,Mackellar,293,293,10736,1.0,0.027291356184798807,2085,Mackellar,0.9867885,1.0
2086,Warringah,104,517,18659,0.2011605415860735,0.005573717776944102,2086,Warringah,1.0,0.9986547
2086,Mackellar,413,517,10736,0.7988394584139265,0.03846870342771982,2086,Mackellar,1.0,1.0
