Postcode,GCCSA,Rented Households,Postcode Totals,GCCSA Totals,Postcode Fraction,GCCSA Fraction,POA_NAME_2016,GCCSA_NAME_2016,POA_2016_2021_RATIO,GCCSA_2016_2021_RATIO
2000,Greater Sydney,6118,6118,547460,1.0,0.011175245680049684,2000,Greater Sydney,1.0,0.999999
2007,Greater Sydney,2045,2045,547460,1.0,0.0037354327256785883,2007,Greater Sydney,1.0,0.999999
2008,Greater Sydney,3310,3310,547460,1.0,0.006046103824936981,2008,Greater Sydney,1.0,0.999999
2009,Greater Sydney,3275,3275,547460,1.0,0.00598217221349505,2009,Greater Sydney,1.0,0.999999
2010,Greater Sydney,7710,7710,547460,1.0,0.014083220691922697,2010,Greater Sydney,1.0,0.999999
2011,Greater Sydney,6347,6347,547460,1.0,0.011593541080626895,2011,Greater Sydney,1.0,0.999999
2015,Greater Sydney,2173,2173,547460,1.0,0.003969239761809082,2015,Greater Sydney,1.0,0.999999
2016,Greater Sydney,3584,3584,547460,1.0,0.00654659701165382,2016,Greater Sydney,1.0,0.999999
2017,Greater Sydney,7217,7217,547460,1.0,0.013182698279326343,2017,Greater Sydney,1.0,0.999999
2018,Greater Sydney,2863,2863,547460,1.0,0.005229605815950024,2018,Greater Sydney,1.0,0.999999
2019,Greater Sydney,1211,1211,547460,1.0,0.002212033755890841,2019,Greater Sydney,1.0,0.999999
2020,Greater Sydney,2479,2479,547460,1.0,0.004528184707558543,2020,Greater Sydney,1.0,0.999999
2021,Greater Sydney,2997,2997,547460,1.0,0.005474372556899134,2021,Greater Sydney,1.0,0.999999
2022,Greater Sydney,2101,2101,547460,1.0,0.0038377233039856794,2022,Greater Sydney,1.0,0.999999
2023,Greater Sydney,1264,1264,547460,1.0,0.0023088444817886238,2023,Greater Sydney,1.0,0.999999
2024,Greater Sydney,1615,1615,547460,1.0,0.0029499872136777116,2024,Greater Sydney,1.0,0.999999
2025,Greater Sydney,1048,1048,547460,1.0,0.001914295108318416,2025,Greater Sydney,1.0,0.999999
2026,Greater Sydney,6792,6792,547460,1.0,0.012406385854674315,2026,Greater Sydney,1.0,0.999999
2027,Greater Sydney,1357,1357,547460,1.0,0.0024787199064771857,2027,Greater Sydney,1.0,0.999999
2028,Greater Sydney,802,802,547460,1.0,0.0014649472107551237,2028,Greater Sydney,1.0,0.999999
2029,Greater Sydney,1633,1633,547460,1.0,0.0029828663281335622,2029,Greater Sydney,1.0,0.999999
2030,Greater Sydney,1090,1090,547460,1.0,0.001991013042048734,2030,Greater Sydney,1.0,0.999999
2031,Greater Sydney,6455,6455,547460,1.0,0.011790815767361998,2031,Greater Sydney,1.0,0.999999
2032,Greater Sydney,3300,3300,547460,1.0,0.006027837650239287,2032,Greater Sydney,1.0,0.999999
2033,Greater Sydney,420,420,547460,1.0,0.000767179337303182,2052,Greater Sydney,1.0,0.999999
2033,Greater Sydney,2252,2252,547460,1.0,0.004113542541920871,2033,Greater Sydney,1.0,0.999999
2034,Greater Sydney,4274,4274,547460,1.0,0.007806963065794761,2034,Greater Sydney,1.0,0.999999
2035,Greater Sydney,5008,5008,547460,1.0,0.00914770028860556,2035,Greater Sydney,1.0,0.999999
2036,Greater Sydney,3656,3656,547460,1.0,0.006678113469477222,2036,Greater Sydney,1.0,0.999999
2037,Greater Sydney,4002,4002,547460,1.0,0.007310123114017462,2037,Greater Sydney,1.0,0.999999
2038,Greater Sydney,1541,1541,547460,1.0,0.00281481752091477,2038,Greater Sydney,1.0,0.999999
2039,Greater Sydney,1352,1352,547460,1.0,0.0024695868191283383,2039,Greater Sydney,1.0,0.999999
2040,Greater Sydney,3201,3201,547460,1.0,0.005847002520732108,2040,Greater Sydney,1.0,0.999999
2041,Greater Sydney,2444,2444,547460,1.0,0.004464253096116612,2041,Greater Sydney,1.0,0.999999
2042,Greater Sydney,4359,4359,547460,1.0,0.007962225550725167,2042,Greater Sydney,1.0,0.999999
2043,Greater Sydney,1714,1714,547460,1.0,0.0031308223431848903,2043,Greater Sydney,1.0,0.999999
2044,Greater Sydney,919,919,547460,1.0,0.001678661454718153,2044,Greater Sydney,1.0,0.999999
2045,Greater Sydney,385,385,547460,1.0,0.0007032477258612502,2045,Greater Sydney,1.0,0.999999
2046,Greater Sydney,3305,3305,547460,1.0,0.006036970737588135,2046,Greater Sydney,1.0,0.999999
