Postcode,GCCS
7000,Greater Hobart
7004,Greater Hobart
7005,Greater Hobart
7007,Greater Hobart
7008,Greater Hobart
7009,Greater Hobart
7010,Greater Hobart
7011,Greater Hobart
7012,Greater Hobart
7015,Greater Hobart
7016,Greater Hobart
7017,Greater Hobart
7018,Greater Hobart
7019,Greater Hobart
7020,Greater Hobart
7021,Greater Hobart
7022,Greater Hobart
7023,Greater Hobart
7024,Greater Hobart
7025,Greater Hobart
7026,Rest of Tas.
7027,Rest of Tas.
7030,Greater Hobart
7050,Greater Hobart
7052,Greater Hobart
7053,Greater Hobart
7054,Greater Hobart
7055,Greater Hobart
7109,Rest of Tas.
7112,Rest of Tas.
7113,Rest of Tas.
7116,Rest of Tas.
7117,Rest of Tas.
7119,Rest of Tas.
7120,Rest of Tas.
7139,Rest of Tas.
7140,Greater Hobart
7150,Rest of Tas.
7155,Rest of Tas.
7162,Rest of Tas.
7163,Rest of Tas.
7170,Greater Hobart
7171,Greater Hobart
7172,Greater Hobart
7173,Greater Hobart
7174,Greater Hobart
7175,Greater Hobart
7176,Rest of Tas.
7177,Greater Hobart
7178,Rest of Tas.
7179,Rest of Tas.
7180,Rest of Tas.
7182,Rest of Tas.
7183,Rest of Tas.
7184,Rest of Tas.
7185,Rest of Tas.
7186,Rest of Tas.
7187,Rest of Tas.
7190,Rest of Tas.
7209,Rest of Tas.
7210,Rest of Tas.
7211,Rest of Tas.
7212,Rest of Tas.
7213,Rest of Tas.
7214,Rest of Tas.
7215,Rest of Tas.
7216,Rest of Tas.
7248,Rest of Tas.
7249,Rest of Tas.
7250,Rest of Tas.
7252,Rest of Tas.
7253,Rest of Tas.
7254,Rest of Tas.
7255,Rest of Tas.
7256,Rest of Tas.
7257,Rest of Tas.
7258,Rest of Tas.
7259,Rest of Tas.
7260,Rest of Tas.
7261,Rest of Tas.
7262,Rest of Tas.
7263,Rest of Tas.
7264,Rest of Tas.
7265,Rest of Tas.
7267,Rest of Tas.
7268,Rest of Tas.
7270,Rest of Tas.
7275,Rest of Tas.
7276,Rest of Tas.
7277,Rest of Tas.
7290,Rest of Tas.
7291,Rest of Tas.
7292,Rest of Tas.
7300,Rest of Tas.
7301,Rest of Tas.
7302,Rest of Tas.
7303,Rest of Tas.
7304,Rest of Tas.
7305,Rest of Tas.
7306,Rest of Tas.
7307,Rest of Tas.
7310,Rest of Tas.
7315,Rest of Tas.
7316,Rest of Tas.
7320,Rest of Tas.
7321,Rest of Tas.
7322,Rest of Tas.
7325,Rest of Tas.
7330,Rest of Tas.
7331,Rest of Tas.
7466,Rest of Tas.
7467,Rest of Tas.
7468,Rest of Tas.
7469,Rest of Tas.
7470,Rest of Tas.
