Postcode,SA4,Rented Households,Postcode Totals,SA4 Totals,Postcode Fraction,SA4 Fraction,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21
0800,Darwin,2443.0,2443.0,21676.0,1.0,0.11270529618010704,701,Darwin,Greater Darwin,Northern Territory
0810,Darwin,5431.0,5431.0,21676.0,1.0,0.2505536076766931,701,Darwin,Greater Darwin,Northern Territory
0812,Darwin,2162.0,2162.0,21676.0,1.0,0.09974164975087654,701,Darwin,Greater Darwin,Northern Territory
0820,Darwin,4510.0,4510.0,21676.0,1.0,0.2080642184904964,701,Darwin,Greater Darwin,Northern Territory
0822,Darwin,230.0,3326.0,21676.0,0.06915213469633193,0.01061081380328474,701,Darwin,Greater Darwin,Northern Territory
0822,Northern Territory - Outback,3096.0,3326.0,14543.0,0.930847865303668,0.21288592449975932,702,Northern Territory - Outback,Rest of NT,Northern Territory
0828,Darwin,178.0,178.0,21676.0,1.0,0.008211847204281232,701,Darwin,Greater Darwin,Northern Territory
0829,Darwin,115.0,115.0,21676.0,1.0,0.00530540690164237,701,Darwin,Greater Darwin,Northern Territory
0830,Darwin,2794.0,2794.0,21676.0,1.0,0.1288983207233807,701,Darwin,Greater Darwin,Northern Territory
0832,Darwin,2818.0,2818.0,21676.0,1.0,0.13000553607676693,701,Darwin,Greater Darwin,Northern Territory
0834,Darwin,121.0,121.0,21676.0,1.0,0.0055822107399889275,701,Darwin,Greater Darwin,Northern Territory
0835,Darwin,236.0,236.0,21676.0,1.0,0.010887617641631297,701,Darwin,Greater Darwin,Northern Territory
0836,Darwin,349.0,349.0,21676.0,1.0,0.016100756597158147,701,Darwin,Greater Darwin,Northern Territory
0837,Darwin,34.0,34.0,21676.0,1.0,0.001568555083963831,701,Darwin,Greater Darwin,Northern Territory
0838,Darwin,68.0,68.0,21676.0,1.0,0.003137110167927662,701,Darwin,Greater Darwin,Northern Territory
0839,Darwin,159.0,159.0,21676.0,1.0,0.007335301716183798,701,Darwin,Greater Darwin,Northern Territory
0840,Northern Territory - Outback,42.0,42.0,14543.0,1.0,0.0028879873478649524,702,Northern Territory - Outback,Rest of NT,Northern Territory
0841,Darwin,28.0,28.0,21676.0,1.0,0.0012917512456172725,701,Darwin,Greater Darwin,Northern Territory
0845,Northern Territory - Outback,94.0,94.0,14543.0,1.0,0.006463590730935846,702,Northern Territory - Outback,Rest of NT,Northern Territory
0846,Northern Territory - Outback,37.0,37.0,14543.0,1.0,0.0025441793302619815,702,Northern Territory - Outback,Rest of NT,Northern Territory
0847,Northern Territory - Outback,64.0,64.0,14543.0,1.0,0.004400742625318022,702,Northern Territory - Outback,Rest of NT,Northern Territory
0850,Northern Territory - Outback,1440.0,1440.0,14543.0,1.0,0.0990167090696555,702,Northern Territory - Outback,Rest of NT,Northern Territory
0852,Northern Territory - Outback,1235.0,1235.0,14543.0,1.0,0.08492058034793372,702,Northern Territory - Outback,Rest of NT,Northern Territory
0853,Northern Territory - Outback,199.0,199.0,14543.0,1.0,0.013683559100598226,702,Northern Territory - Outback,Rest of NT,Northern Territory
0854,Northern Territory - Outback,128.0,128.0,14543.0,1.0,0.008801485250636044,702,Northern Territory - Outback,Rest of NT,Northern Territory
0860,Northern Territory - Outback,615.0,615.0,14543.0,1.0,0.04228838616516537,702,Northern Territory - Outback,Rest of NT,Northern Territory
0862,Northern Territory - Outback,70.0,70.0,14543.0,1.0,0.004813312246441587,702,Northern Territory - Outback,Rest of NT,Northern Territory
0870,Northern Territory - Outback,3218.0,3218.0,14543.0,1.0,0.22127484012927182,702,Northern Territory - Outback,Rest of NT,Northern Territory
0872,Northern Territory - Outback,2048.0,2683.0,14543.0,0.76332463660082,0.1408237640101767,702,Northern Territory - Outback,Rest of NT,Northern Territory
0872,South Australia - Outback,414.0,2683.0,11819.0,0.15430488259411107,0.03502834419155597,406,South Australia - Outback,Rest of SA,South Australia
0872,Western Australia - Outback (North),43.0,2683.0,17763.0,0.0160268356317555,0.002420762258627484,510,Western Australia - Outback (North),Rest of WA,Western Australia
0872,Western Australia - Outback (South),178.0,2683.0,14814.0,0.06634364517331345,0.012015660861347375,511,Western Australia - Outback (South),Rest of WA,Western Australia
0873,Northern Territory - Outback,449.0,449.0,14543.0,1.0,0.03087395998074675,702,Northern Territory - Outback,Rest of NT,Northern Territory
0874,Northern Territory - Outback,126.0,126.0,14543.0,1.0,0.008663962043594856,702,Northern Territory - Outback,Rest of NT,Northern Territory
0875,Northern Territory - Outback,390.0,390.0,14543.0,1.0,0.0268170253730317,702,Northern Territory - Outback,Rest of NT,Northern Territory
0880,Northern Territory - Outback,830.0,830.0,14543.0,1.0,0.0570721309220931,702,Northern Territory - Outback,Rest of NT,Northern Territory
0885,Northern Territory - Outback,152.0,152.0,14543.0,1.0,0.010451763735130303,702,Northern Territory - Outback,Rest of NT,Northern Territory
0886,Northern Territory - Outback,242.0,242.0,14543.0,1.0,0.01664030805198377,702,Northern Territory - Outback,Rest of NT,Northern Territory
2000,Sydney - City and Inner South,8416.0,8416.0,86381.0,1.0,0.09742883272941967,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2007,Sydney - City and Inner South,2020.0,2020.0,86381.0,1.0,0.023384772114238086,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2008,Sydney - City and Inner South,3374.0,3374.0,86381.0,1.0,0.03905951540269272,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2009,Sydney - City and Inner South,3489.0,3489.0,86381.0,1.0,0.040390826686424096,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2010,Sydney - City and Inner South,8558.0,8558.0,86381.0,1.0,0.09907271274933145,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2011,Sydney - City and Inner South,6572.0,6572.0,86381.0,1.0,0.07608154571028351,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2015,Sydney - City and Inner South,2815.0,2815.0,86381.0,1.0,0.03258818490177238,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2016,Sydney - City and Inner South,3690.0,3690.0,86381.0,1.0,0.04271772727798937,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2017,Sydney - City and Inner South,10240.0,10240.0,86381.0,1.0,0.11854458735138514,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2018,Sydney - City and Inner South,4153.0,4153.0,86381.0,1.0,0.04807770227249048,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2019,Sydney - City and Inner South,1911.0,1911.0,86381.0,1.0,0.02212292054965791,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2020,Sydney - City and Inner South,4668.0,4668.0,86381.0,1.0,0.054039661499635336,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2021,Sydney - Eastern Suburbs,3098.0,3098.0,47025.0,1.0,0.06587985114300904,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2022,Sydney - Eastern Suburbs,2736.0,2736.0,47025.0,1.0,0.05818181818181818,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2023,Sydney - Eastern Suburbs,1359.0,1359.0,47025.0,1.0,0.028899521531100477,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2024,Sydney - Eastern Suburbs,1706.0,1706.0,47025.0,1.0,0.036278575225943646,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2025,Sydney - Eastern Suburbs,1057.0,1057.0,47025.0,1.0,0.022477405635300374,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2026,Sydney - Eastern Suburbs,7740.0,7740.0,47025.0,1.0,0.1645933014354067,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2027,Sydney - Eastern Suburbs,1440.0,1440.0,47025.0,1.0,0.03062200956937799,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2028,Sydney - Eastern Suburbs,925.0,925.0,47025.0,1.0,0.019670388091440724,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2029,Sydney - Eastern Suburbs,1710.0,1710.0,47025.0,1.0,0.03636363636363636,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2030,Sydney - Eastern Suburbs,1146.0,1146.0,47025.0,1.0,0.024370015948963316,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2031,Sydney - Eastern Suburbs,6690.0,6690.0,47025.0,1.0,0.1422647527910686,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2032,Sydney - City and Inner South,394.0,3012.0,86381.0,0.13081009296148738,0.00456118822426228,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2032,Sydney - Eastern Suburbs,2618.0,3012.0,47025.0,0.8691899070385126,0.05567251461988304,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2033,Sydney - Eastern Suburbs,2416.0,2416.0,47025.0,1.0,0.05137692716640085,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2034,Sydney - Eastern Suburbs,4378.0,4378.0,47025.0,1.0,0.09309941520467836,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2035,Sydney - City and Inner South,335.0,5471.0,86381.0,0.061231950283312006,0.0038781676526087913,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2035,Sydney - Eastern Suburbs,5136.0,5471.0,47025.0,0.938768049716688,0.10921850079744816,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2036,Sydney - City and Inner South,2212.0,5082.0,86381.0,0.43526170798898073,0.025607483127076554,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2036,Sydney - Eastern Suburbs,2870.0,5082.0,47025.0,0.5647382920110193,0.061031366294524186,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2037,Sydney - City and Inner South,4662.0,4662.0,86381.0,1.0,0.05397020178048413,117,Sydney - City and Inner South,Greater Sydney,New South Wales
