Postcode,State Electorate,Rented Households,Postcode Totals,State Electorate Totals,Postcode Fraction,State Electorate Fraction,POA_NAME_2016,SED_NAME_2016,POA_2016_2021_RATIO,SED_2016_2021_RATIO
2000,Sydney,6118,6118,24217,1.0,0.2526324482801338,2000,Sydney,1.0,0.9954935
2007,Balmain,1664,2047,15385,0.8128969223253542,0.10815729606759832,2007,Balmain,1.0,1.0
2007,Sydney,383,2047,24217,0.18710307767464582,0.015815336333980263,2007,Sydney,1.0,0.9954935
2008,Newtown,3310,3310,20434,1.0,0.1619849270823138,2008,Newtown,1.0,0.9972906
2009,Sydney,3168,3276,24217,0.967032967032967,0.13081719453276625,2009,Sydney,1.0,0.9954935
2009,Balmain,108,3276,15385,0.03296703296703297,0.00701982450438739,2009,Balmain,1.0,1.0
2010,Sydney,5206,7704,24217,0.6757528556593977,0.21497295288433746,2010,Sydney,1.0,0.9954935
2010,Newtown,2498,7704,20434,0.3242471443406023,0.12224723500048938,2010,Newtown,1.0,0.9972906
2011,Sydney,6347,6347,24217,1.0,0.26208861543543793,2011,Sydney,1.0,0.9954935
2015,Newtown,360,2174,20434,0.1655933762649494,0.017617695996867966,2015,Newtown,1.0,0.9972906
2015,Heffron,1814,2174,21195,0.8344066237350506,0.085586223165841,2015,Heffron,1.0,1.0
2016,Newtown,3584,3584,20434,1.0,0.17539395125770774,2016,Newtown,1.0,0.9972906
2017,Newtown,772,7209,20434,0.10708836177000972,0.037780170304394636,2017,Newtown,1.0,0.9972906
2017,Heffron,6437,7209,21195,0.8929116382299903,0.3037037037037037,2017,Heffron,1.0,1.0
2018,Heffron,2863,2863,21195,1.0,0.13507902807265865,2018,Heffron,1.0,1.0
2019,Maroubra,1211,1211,10895,1.0,0.11115190454336851,2019,Maroubra,1.0,1.0
2020,Heffron,2479,2479,21195,1.0,0.11696154753479594,2020,Heffron,1.0,1.0
2021,Heffron,600,2999,21195,0.20006668889629878,0.028308563340410473,2021,Heffron,1.0,1.0
2021,Sydney,2399,2999,24217,0.7999333111037013,0.09906264194574059,2021,Sydney,1.0,0.9954935
2022,Vaucluse,266,2107,12612,0.12624584717607973,0.021091024421186173,2022,Vaucluse,1.0,1.0
2022,Coogee,1841,2107,15228,0.8737541528239202,0.12089571841344891,2022,Coogee,1.0,1.0
2023,Vaucluse,1264,1264,12612,1.0,0.1002220107833809,2023,Vaucluse,1.0,1.0
2024,Coogee,1615,1615,15228,1.0,0.10605463619648017,2024,Coogee,1.0,1.0
2025,Sydney,230,1051,24217,0.21883920076117983,0.009497460461659165,2025,Sydney,1.0,0.9954935
2025,Vaucluse,821,1051,12612,0.7811607992388202,0.06509673326990167,2025,Vaucluse,1.0,1.0
2026,Vaucluse,5746,6791,12612,0.8461198645265793,0.4555978433238186,2026,Vaucluse,1.0,1.0
