Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
800,Port Darwin,2443,2443,3404,1,0.717685076
810,Casuarina,1220,5424,1220,0.224926254,1
810,Johnston,1304,5424,1304,0.240412979,1
810,Nightcliff,1997,5424,1997,0.368178466,1
810,Sanderson,260,5424,878,0.047935103,0.296127563
810,Wanguri,643,5424,1162,0.118547198,0.553356282
812,Karama,1021,2158,1102,0.473123262,0.926497278
812,Sanderson,618,2158,878,0.286376274,0.703872437
812,Wanguri,519,2158,1162,0.240500463,0.446643718
820,Fannie Bay,1739,4502,1739,0.386272768,1
820,Fong Lim,1802,4502,1845,0.400266548,0.976693767
820,Port Darwin,961,4502,3404,0.213460684,0.282314924
822,Arafura,1298,3322,1540,0.390728477,0.842857143
822,Arnhem,463,3322,1586,0.139373871,0.291929382
822,Daly,784,3322,1180,0.236002408,0.66440678
822,Goyder,153,3322,555,0.046056592,0.275675676
822,Mulka,575,3322,1295,0.173088501,0.444015444
822,Nelson,38,3322,683,0.011438892,0.055636896
822,Spillett,11,3322,1446,0.003311258,0.007607192
828,Fong Lim,43,173,1845,0.248554913,0.023306233
828,Karama,81,173,1102,0.468208092,0.073502722
828,Nelson,37,173,683,0.213872832,0.054172767
828,Spillett,12,173,1446,0.069364162,0.008298755
829,Nelson,108,114,683,0.947368421,0.158125915
829,Spillett,6,114,1446,0.052631579,0.004149378
830,Blain,542,2793,1442,0.19405657,0.375866852
830,Brennan,207,2793,1311,0.074113856,0.157894737
830,Drysdale,1430,2793,1430,0.511994271,1
830,Spillett,614,2793,1446,0.219835303,0.42461964
832,Blain,900,2817,1442,0.319488818,0.624133148
832,Brennan,1104,2817,1311,0.391906283,0.842105263
832,Nelson,10,2817,683,0.003549876,0.014641288
832,Spillett,803,2817,1446,0.285055023,0.555325035
834,Goyder,121,121,555,1,0.218018018
835,Goyder,9,231,555,0.038961039,0.016216216
835,Nelson,222,231,683,0.961038961,0.325036603
836,Goyder,218,350,555,0.622857143,0.392792793
836,Nelson,132,350,683,0.377142857,0.193265007
837,Goyder,34,34,555,1,0.061261261
838,Daly,68,68,1180,1,0.057627119
839,Goyder,20,156,555,0.128205128,0.036036036
839,Nelson,136,156,683,0.871794872,0.199121523
840,Daly,42,42,1180,1,0.03559322
841,Daly,28,28,1180,1,0.023728814
845,Daly,94,94,1180,1,0.079661017
846,Daly,37,37,1180,1,0.031355932
847,Daly,64,64,1180,1,0.054237288
850,Katherine,1440,1440,1511,1,0.953011251
852,Arnhem,663,1240,1586,0.534677419,0.418032787
852,Barkly,121,1240,1367,0.097580645,0.088514996
852,Daly,63,1240,1180,0.050806452,0.053389831
852,Gwoja,322,1240,1584,0.259677419,0.203282828
852,Katherine,71,1240,1511,0.057258065,0.046988749
853,Arnhem,199,199,1586,1,0.125472888
854,Barkly,128,128,1367,1,0.093635699
860,Barkly,615,615,1367,1,0.449890271
862,Barkly,70,70,1367,1,0.051207023
870,Araluen,1573,3219,1573,0.488661075,1
870,Braitling,1343,3219,1343,0.417210314,1
870,Namatjira,303,3219,1689,0.094128611,0.179396092
872,Barkly,365,2683,1367,0.136041744,0.267008047
872,Giles,414,2683,6320,0.154304883,0.065506329
872,Gwoja,1262,2683,1584,0.47036899,0.796717172
872,Kimberley (Mining and Pastoral),43,2683,7193,0.016026836,0.005978034
872,Namatjira,421,2683,1689,0.156913902,0.249259917
872,North West Central (Mining and Pastoral),178,2683,4574,0.066343645,0.03891561
873,Namatjira,449,449,1689,1,0.265837774
874,Namatjira,126,126,1689,1,0.074600355
875,Namatjira,390,390,1689,1,0.230905861
880,Arnhem,109,829,1586,0.131483715,0.068726356
880,Mulka,720,829,1295,0.868516285,0.555984556
885,Arnhem,152,152,1586,1,0.095838588
886,Arafura,242,242,1540,1,0.157142857
2000,Newtown,6,8416,20698,0.000712928,0.000289883
2000,Sydney,8410,8416,30332,0.999287072,0.277264935
2007,Balmain,1708,2022,16844,0.84470821,0.101401092
2007,Sydney,314,2022,30332,0.15529179,0.010352103
2008,Newtown,3374,3374,20698,1,0.163010919
2009,Balmain,109,3489,16844,0.031241043,0.006471147
2009,Sydney,3380,3489,30332,0.968758957,0.11143347
2010,Sydney,8558,8558,30332,1,0.28214427
2011,Sydney,6572,6572,30332,1,0.216668865
2015,Heffron,2099,2812,24477,0.746443812,0.085753973
2015,Newtown,713,2812,20698,0.253556188,0.034447773
2016,Newtown,3690,3690,20698,1,0.178278095
2017,Heffron,10169,10241,24477,0.992969437,0.41545124
2017,Newtown,72,10241,20698,0.007030563,0.003478597
2018,Heffron,4153,4153,24477,1,0.169669486
2019,Maroubra,1911,1911,13546,1,0.141074856
2020,Heffron,4668,4668,24477,1,0.190709646
2021,Sydney,3098,3098,30332,1,0.102136358
2022,Coogee,2425,2727,18417,0.889255592,0.131671825
2022,Vaucluse,302,2727,14578,0.110744408,0.020716148
2023,Vaucluse,1359,1359,14578,1,0.093222664
2024,Coogee,1706,1706,18417,1,0.092631808
2025,Vaucluse,1057,1057,14578,1,0.072506517
2026,Coogee,1103,7742,18417,0.142469646,0.059890319
2026,Vaucluse,6639,7742,14578,0.857530354,0.455412265
2027,Vaucluse,1440,1440,14578,1,0.098778982
2028,Vaucluse,925,925,14578,1,0.063451777
