,Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
3485,0800,Port Darwin,2443.0,2443.0,3404.0,1.0,0.7176850763807285
3444,0810,Casuarina,1220.0,5424.0,1220.0,0.22492625368731564,1.0
3465,0810,Johnston,1304.0,5424.0,1304.0,0.24041297935103245,1.0
3484,0810,Nightcliff,1997.0,5424.0,1997.0,0.3681784660766962,1.0
3487,0810,Sanderson,260.0,5424.0,878.0,0.04793510324483776,0.296127562642369
3494,0810,Wanguri,643.0,5424.0,1162.0,0.118547197640118,0.5533562822719449
3466,0812,Karama,1021.0,2158.0,1102.0,0.47312326227988877,0.926497277676951
3488,0812,Sanderson,618.0,2158.0,878.0,0.28637627432808155,0.7038724373576309
3495,0812,Wanguri,519.0,2158.0,1162.0,0.24050046339202966,0.44664371772805506
3454,0820,Fannie Bay,1739.0,4502.0,1739.0,0.3862727676588183,1.0
3455,0820,Fong Lim,1802.0,4502.0,1845.0,0.40026654820079965,0.9766937669376694
3486,0820,Port Darwin,961.0,4502.0,3404.0,0.21346068414038205,0.28231492361927146
3425,0822,Arafura,1298.0,3322.0,1540.0,0.39072847682119205,0.8428571428571429
3428,0822,Arnhem,463.0,3322.0,1586.0,0.13937387116195063,0.29192938209331654
3445,0822,Daly,784.0,3322.0,1180.0,0.23600240818783866,0.6644067796610169
3457,0822,Goyder,153.0,3322.0,555.0,0.04605659241420831,0.2756756756756757
3470,0822,Mulka,575.0,3322.0,1295.0,0.17308850090307043,0.444015444015444
3477,0822,Nelson,38.0,3322.0,683.0,0.011438892233594221,0.055636896046852125
3489,0822,Spillett,11.0,3322.0,1446.0,0.0033112582781456954,0.007607192254495159
3456,0828,Fong Lim,43.0,173.0,1845.0,0.24855491329479767,0.023306233062330622
3467,0828,Karama,81.0,173.0,1102.0,0.4682080924855491,0.073502722323049
3478,0828,Nelson,37.0,173.0,683.0,0.2138728323699422,0.05417276720351391
3490,0828,Spillett,12.0,173.0,1446.0,0.06936416184971098,0.008298755186721992
3479,0829,Nelson,108.0,114.0,683.0,0.9473684210526315,0.1581259150805271
3491,0829,Spillett,6.0,114.0,1446.0,0.05263157894736842,0.004149377593360996
3439,0830,Blain,542.0,2793.0,1442.0,0.19405656999641963,0.37586685159500693
3442,0830,Brennan,207.0,2793.0,1311.0,0.07411385606874328,0.15789473684210525
3453,0830,Drysdale,1430.0,2793.0,1430.0,0.5119942713927677,1.0
3492,0830,Spillett,614.0,2793.0,1446.0,0.21983530254206946,0.42461964038727523
3440,0832,Blain,900.0,2817.0,1442.0,0.3194888178913738,0.624133148404993
3443,0832,Brennan,1104.0,2817.0,1311.0,0.3919062832800852,0.8421052631578947
3480,0832,Nelson,10.0,2817.0,683.0,0.003549875754348598,0.014641288433382138
3493,0832,Spillett,803.0,2817.0,1446.0,0.2850550230741924,0.5553250345781466
3458,0834,Goyder,121.0,121.0,555.0,1.0,0.218018018018018
3459,0835,Goyder,9.0,231.0,555.0,0.03896103896103896,0.016216216216216217
3481,0835,Nelson,222.0,231.0,683.0,0.961038961038961,0.32503660322108346
3460,0836,Goyder,218.0,350.0,555.0,0.6228571428571429,0.3927927927927928
3482,0836,Nelson,132.0,350.0,683.0,0.37714285714285717,0.19326500732064422
3461,0837,Goyder,34.0,34.0,555.0,1.0,0.06126126126126126
3446,0838,Daly,68.0,68.0,1180.0,1.0,0.0576271186440678
3462,0839,Goyder,20.0,156.0,555.0,0.1282051282051282,0.036036036036036036
3483,0839,Nelson,136.0,156.0,683.0,0.8717948717948718,0.19912152269399708
3447,0840,Daly,42.0,42.0,1180.0,1.0,0.03559322033898305
3448,0841,Daly,28.0,28.0,1180.0,1.0,0.023728813559322035
3449,0845,Daly,94.0,94.0,1180.0,1.0,0.07966101694915254
3450,0846,Daly,37.0,37.0,1180.0,1.0,0.03135593220338983
3451,0847,Daly,64.0,64.0,1180.0,1.0,0.05423728813559322
3468,0850,Katherine,1440.0,1440.0,1511.0,1.0,0.9530112508272667
3429,0852,Arnhem,663.0,1240.0,1586.0,0.5346774193548387,0.4180327868852459
3433,0852,Barkly,121.0,1240.0,1367.0,0.09758064516129032,0.08851499634235552
3452,0852,Daly,63.0,1240.0,1180.0,0.050806451612903224,0.053389830508474574
3463,0852,Gwoja,322.0,1240.0,1584.0,0.25967741935483873,0.2032828282828283
3469,0852,Katherine,71.0,1240.0,1511.0,0.05725806451612903,0.04698874917273329
3430,0853,Arnhem,199.0,199.0,1586.0,1.0,0.12547288776796975
3434,0854,Barkly,128.0,128.0,1367.0,1.0,0.0936356986100951
3435,0860,Barkly,615.0,615.0,1367.0,1.0,0.4498902706656913
