SA1_CODE21,LGA_NAME22
10102100701,Goulburn Mulwaree
10102100702,Queanbeyan-Palerang
10102100703,Queanbeyan-Palerang
10102100704,Queanbeyan-Palerang
10102100705,Queanbeyan-Palerang
10102100706,Queanbeyan-Palerang
10102100707,Queanbeyan-Palerang
10102100708,Queanbeyan-Palerang
10102100709,Queanbeyan-Palerang
10102100710,Goulburn Mulwaree
10102100710,Queanbeyan-Palerang
10102100710,Shoalhaven
10102100801,Queanbeyan-Palerang
10102100802,Queanbeyan-Palerang
10102100803,Queanbeyan-Palerang
10102100804,Queanbeyan-Palerang
10102100805,Queanbeyan-Palerang
10102100806,Queanbeyan-Palerang
10102100807,Queanbeyan-Palerang
10102100808,Queanbeyan-Palerang
10102100809,Queanbeyan-Palerang
10102100810,Queanbeyan-Palerang
10102100811,Queanbeyan-Palerang
10102100812,Queanbeyan-Palerang
10102100813,Queanbeyan-Palerang
10102100814,Queanbeyan-Palerang
10102100815,Queanbeyan-Palerang
10102100816,Queanbeyan-Palerang
10102100817,Queanbeyan-Palerang
10102100818,Queanbeyan-Palerang
10102100819,Queanbeyan-Palerang
10102100820,Queanbeyan-Palerang
10102100821,Queanbeyan-Palerang
10102100822,Queanbeyan-Palerang
10102100823,Queanbeyan-Palerang
10102100901,Queanbeyan-Palerang
10102100902,Queanbeyan-Palerang
10102100904,Queanbeyan-Palerang
10102100905,Queanbeyan-Palerang
10102100907,Queanbeyan-Palerang
10102100908,Queanbeyan-Palerang
10102100909,Queanbeyan-Palerang
10102100910,Queanbeyan-Palerang
10102100911,Queanbeyan-Palerang
10102100912,Queanbeyan-Palerang
10102100913,Queanbeyan-Palerang
10102100914,Queanbeyan-Palerang
10102100915,Queanbeyan-Palerang
10102100916,Queanbeyan-Palerang
10102100917,Queanbeyan-Palerang
10102100918,Queanbeyan-Palerang
10102100919,Queanbeyan-Palerang
10102100920,Queanbeyan-Palerang
10102100921,Queanbeyan-Palerang
10102100923,Queanbeyan-Palerang
10102100924,Queanbeyan-Palerang
10102100925,Queanbeyan-Palerang
10102100926,Queanbeyan-Palerang
10102100927,Queanbeyan-Palerang
10102100928,Queanbeyan-Palerang
10102100929,Queanbeyan-Palerang
10102101001,Queanbeyan-Palerang
10102101002,Queanbeyan-Palerang
10102101003,Queanbeyan-Palerang
10102101004,Queanbeyan-Palerang
10102101006,Queanbeyan-Palerang
10102101007,Queanbeyan-Palerang
10102101008,Queanbeyan-Palerang
10102101009,Queanbeyan-Palerang
10102101010,Queanbeyan-Palerang
10102101011,Queanbeyan-Palerang
10102101012,Queanbeyan-Palerang
10102101013,Queanbeyan-Palerang
10102101014,Queanbeyan-Palerang
10102101015,Queanbeyan-Palerang
10102101016,Queanbeyan-Palerang
10102101017,Queanbeyan-Palerang
10102101201,Queanbeyan-Palerang
10102101202,Queanbeyan-Palerang
10102101203,Queanbeyan-Palerang
10102101204,Queanbeyan-Palerang
10102101205,Queanbeyan-Palerang
10102101206,Queanbeyan-Palerang
10102101207,Queanbeyan-Palerang
10102101208,Queanbeyan-Palerang
10102101209,Queanbeyan-Palerang
10102101210,Queanbeyan-Palerang
10102101211,Queanbeyan-Palerang
10102101212,Queanbeyan-Palerang
10102101213,Queanbeyan-Palerang
10102101214,Queanbeyan-Palerang
10102101215,Queanbeyan-Palerang
10102101216,Queanbeyan-Palerang
10102101217,Queanbeyan-Palerang
10102101218,Queanbeyan-Palerang
10102101219,Queanbeyan-Palerang
10102101220,Queanbeyan-Palerang
10102101221,Queanbeyan-Palerang
10102101222,Queanbeyan-Palerang
10102101223,Queanbeyan-Palerang
10102101224,Queanbeyan-Palerang
10102101225,Queanbeyan-Palerang
10102101226,Queanbeyan-Palerang
10102101227,Queanbeyan-Palerang
10102101228,Queanbeyan-Palerang
10102101229,Queanbeyan-Palerang
10102101230,Queanbeyan-Palerang
10102101231,Queanbeyan-Palerang
10102101232,Queanbeyan-Palerang
10102161001,Queanbeyan-Palerang
10102161002,Queanbeyan-Palerang
10102161003,Queanbeyan-Palerang
10102161004,Queanbeyan-Palerang
10102161005,Queanbeyan-Palerang
10102161006,Queanbeyan-Palerang
10102161007,Queanbeyan-Palerang
10102161008,Queanbeyan-Palerang
10102161009,Queanbeyan-Palerang
10102161010,Queanbeyan-Palerang
10102161011,Queanbeyan-Palerang
10102161012,Queanbeyan-Palerang
10102161013,Queanbeyan-Palerang
10102161014,Queanbeyan-Palerang
10102161015,Queanbeyan-Palerang
10102161101,Queanbeyan-Palerang
10102161102,Queanbeyan-Palerang
10102161103,Queanbeyan-Palerang
10102161104,Queanbeyan-Palerang
10102161105,Queanbeyan-Palerang
10102161106,Queanbeyan-Palerang
10102161107,Goulburn Mulwaree
10102161107,Queanbeyan-Palerang
10102161108,Queanbeyan-Palerang
10102161109,Queanbeyan-Palerang
10102161110,Queanbeyan-Palerang
10102161111,Queanbeyan-Palerang
10102161112,Queanbeyan-Palerang
10102161113,Queanbeyan-Palerang
10102161114,Queanbeyan-Palerang
10102161115,Queanbeyan-Palerang
10102161116,Queanbeyan-Palerang
10102161117,Queanbeyan-Palerang
10102161118,Queanbeyan-Palerang
10102161119,Queanbeyan-Palerang
10102161120,Queanbeyan-Palerang
10102161120,Snowy Monaro
10102161121,Queanbeyan-Palerang
10102161122,Queanbeyan-Palerang
10102161123,Snowy Monaro
10102161124,Queanbeyan-Palerang
10102161125,Queanbeyan-Palerang
10102161126,Queanbeyan-Palerang
10102161127,Queanbeyan-Palerang
10102161128,Queanbeyan-Palerang
10102161129,Queanbeyan-Palerang
10102161130,Queanbeyan-Palerang
10102161131,Snowy Monaro
10102161132,Queanbeyan-Palerang
10102161133,Queanbeyan-Palerang
10102161134,Queanbeyan-Palerang
10102161134,Snowy Monaro
10102161135,Queanbeyan-Palerang
10102161135,Snowy Monaro
10102161136,Queanbeyan-Palerang
10102161137,Queanbeyan-Palerang
10102161138,Queanbeyan-Palerang
10102161139,Queanbeyan-Palerang
10102161140,Queanbeyan-Palerang
10102161141,Queanbeyan-Palerang
10102161142,Queanbeyan-Palerang
10102161143,Queanbeyan-Palerang
10102161144,Queanbeyan-Palerang
10102161145,Queanbeyan-Palerang
10102161146,Queanbeyan-Palerang
10103101301,Snowy Monaro
10103101302,Snowy Monaro
10103101303,Snowy Monaro
10103101304,Snowy Monaro
10103101305,Snowy Monaro
10103101306,Snowy Monaro
10103101307,Bega Valley
10103101307,Snowy Monaro
10103101308,Bega Valley
10103101308,Snowy Monaro
10103101401,Snowy Monaro
10103101402,Snowy Monaro
10103101403,Snowy Monaro
10103101404,Snowy Monaro
10103101405,Snowy Monaro
10103101406,Snowy Monaro
10103101407,Snowy Monaro
10103101408,Snowy Monaro
10103101409,Snowy Monaro
10103101410,Snowy Monaro
10103101411,Snowy Monaro
10103101412,Snowy Monaro
10103101414,Snowy Monaro
10103101415,Snowy Monaro
10103101417,Snowy Monaro
10103101419,Snowy Monaro
10103101420,Snowy Monaro
10103101421,Snowy Monaro
10103101501,Snowy Monaro
10103101502,Snowy Monaro
10103101503,Snowy Monaro
10103101505,Snowy Monaro
10103101511,Snowy Monaro
10103101512,Snowy Monaro
10103101514,Snowy Monaro
10103101515,Snowy Monaro
10103101516,Snowy Monaro
10103101517,Bega Valley
10103101517,Snowy Monaro
10103101518,Snowy Monaro
10103101519,Snowy Monaro
10103101520,Snowy Monaro
10103101521,Snowy Monaro
10103101523,Snowy Monaro
10103101524,Snowy Monaro
10103101525,Snowy Monaro
10103101526,Snowy Monaro
10103101601,Snowy Monaro
10103101602,Snowy Monaro
10103101603,Snowy Monaro
10103101604,Snowy Monaro
10103101605,Snowy Monaro
10103101606,Snowy Monaro
10103101607,Snowy Monaro
10103101608,Snowy Monaro
10103101611,Snowy Monaro
10103101612,Snowy Monaro
10103101612,Snowy Valleys
10103101614,Snowy Monaro
10103101615,Snowy Monaro
10103101616,Snowy Monaro
10103101617,Snowy Monaro
10103101619,Snowy Monaro
10103101620,Snowy Monaro
10103101621,Snowy Monaro
10103101622,Snowy Monaro
10103101623,Snowy Monaro
10103101624,Snowy Monaro
10103101625,Snowy Monaro
10103101626,Snowy Monaro
10103101627,Snowy Monaro
10104101701,Eurobodalla
10104101702,Eurobodalla
10104101703,Eurobodalla
10104101704,Eurobodalla
10104101705,Eurobodalla
10104101706,Eurobodalla
10104101707,Eurobodalla
10104101708,Eurobodalla
10104101709,Eurobodalla
10104101710,Eurobodalla
10104101711,Eurobodalla
10104101713,Eurobodalla
