SA1,LGA,Rented Households,LGA Totals,SA1 Totals,SA1 Fraction,LGA Fraction
10102100701,Goulburn Mulwaree,7,3525,7,1.0,0.0019858156028368795
10102100702,Queanbeyan-Palerang,7,6214,7,1.0,0.001126488574187319
10102100703,Queanbeyan-Palerang,54,6214,54,1.0,0.008690054715159318
10102100704,Queanbeyan-Palerang,52,6214,52,1.0,0.008368200836820083
10102100705,Queanbeyan-Palerang,46,6214,46,1.0,0.007402639201802382
10102100706,Queanbeyan-Palerang,17,6214,17,1.0,0.0027357579658834888
10102100707,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102100708,Queanbeyan-Palerang,14,6214,14,1.0,0.002252977148374638
10102100709,Queanbeyan-Palerang,24,6214,24,1.0,0.0038622465400708077
10102100710,Queanbeyan-Palerang,21,6214,21,1.0,0.0033794657225619568
10102100801,Queanbeyan-Palerang,31,6214,31,1.0,0.004988735114258127
10102100802,Queanbeyan-Palerang,27,6214,27,1.0,0.004345027357579659
10102100803,Queanbeyan-Palerang,67,6214,67,1.0,0.01078210492436434
10102100804,Queanbeyan-Palerang,82,6214,82,1.0,0.013196009011908594
10102100805,Queanbeyan-Palerang,62,6214,62,1.0,0.009977470228516253
10102100806,Queanbeyan-Palerang,32,6214,32,1.0,0.005149662053427744
10102100807,Queanbeyan-Palerang,70,6214,70,1.0,0.01126488574187319
10102100808,Queanbeyan-Palerang,54,6214,54,1.0,0.008690054715159318
10102100810,Queanbeyan-Palerang,8,6214,8,1.0,0.001287415513356936
10102100811,Queanbeyan-Palerang,20,6214,20,1.0,0.0032185387833923397
10102100812,Queanbeyan-Palerang,20,6214,20,1.0,0.0032185387833923397
10102100813,Queanbeyan-Palerang,20,6214,20,1.0,0.0032185387833923397
10102100814,Queanbeyan-Palerang,46,6214,46,1.0,0.007402639201802382
10102100815,Queanbeyan-Palerang,114,6214,114,1.0,0.018345671065336338
10102100816,Queanbeyan-Palerang,84,6214,84,1.0,0.013517862890247827
10102100817,Queanbeyan-Palerang,29,6214,29,1.0,0.004666881235918893
10102100818,Queanbeyan-Palerang,39,6214,39,1.0,0.006276150627615063
10102100819,Queanbeyan-Palerang,26,6214,26,1.0,0.0041841004184100415
10102100820,Queanbeyan-Palerang,25,6214,25,1.0,0.004023173479240425
10102100821,Queanbeyan-Palerang,18,6214,18,1.0,0.002896684905053106
10102100822,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102100823,Queanbeyan-Palerang,19,6214,19,1.0,0.003057611844222723
10102100901,Queanbeyan-Palerang,16,6214,16,1.0,0.002574831026713872
10102100902,Queanbeyan-Palerang,25,6214,25,1.0,0.004023173479240425
10102100904,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102100905,Queanbeyan-Palerang,28,6214,28,1.0,0.004505954296749276
10102100907,Queanbeyan-Palerang,110,6214,110,1.0,0.017701963308657868
10102100908,Queanbeyan-Palerang,145,6214,145,1.0,0.023334406179594463
10102100909,Queanbeyan-Palerang,187,6214,187,1.0,0.03009333762471838
10102100910,Queanbeyan-Palerang,193,6214,193,1.0,0.03105889925973608
10102100911,Queanbeyan-Palerang,86,6214,86,1.0,0.013839716768587062
10102100912,Queanbeyan-Palerang,31,6214,31,1.0,0.004988735114258127
10102100913,Queanbeyan-Palerang,52,6214,52,1.0,0.008368200836820083
10102100914,Queanbeyan-Palerang,36,6214,36,1.0,0.005793369810106212
10102100915,Queanbeyan-Palerang,192,6214,192,1.0,0.03089797232056646
10102100916,Queanbeyan-Palerang,60,6214,60,1.0,0.00965561635017702
10102100917,Queanbeyan-Palerang,92,6214,92,1.0,0.014805278403604764
10102100918,Queanbeyan-Palerang,41,6214,41,1.0,0.006598004505954297
10102100919,Queanbeyan-Palerang,91,6214,91,1.0,0.014644351464435146
10102100920,Queanbeyan-Palerang,110,6214,110,1.0,0.017701963308657868
10102100921,Queanbeyan-Palerang,102,6214,102,1.0,0.016414547795300934
10102100923,Queanbeyan-Palerang,36,6214,36,1.0,0.005793369810106212
10102100924,Queanbeyan-Palerang,5,6214,5,1.0,0.0008046346958480849
10102100925,Queanbeyan-Palerang,135,6214,135,1.0,0.021725136787898294
10102100926,Queanbeyan-Palerang,89,6214,89,1.0,0.014322497586095913
10102100927,Queanbeyan-Palerang,31,6214,31,1.0,0.004988735114258127
10102100928,Queanbeyan-Palerang,102,6214,102,1.0,0.016414547795300934
10102100929,Queanbeyan-Palerang,139,6214,139,1.0,0.02236884454457676
10102101001,Queanbeyan-Palerang,56,6214,56,1.0,0.009011908593498551
10102101002,Queanbeyan-Palerang,5,6214,5,1.0,0.0008046346958480849
10102101003,Queanbeyan-Palerang,7,6214,7,1.0,0.001126488574187319
10102101004,Queanbeyan-Palerang,22,6214,22,1.0,0.003540392661731574
10102101006,Queanbeyan-Palerang,181,6214,181,1.0,0.029127775989700677
10102101007,Queanbeyan-Palerang,55,6214,55,1.0,0.008850981654328934
10102101008,Queanbeyan-Palerang,131,6214,131,1.0,0.021081429031219828
10102101009,Queanbeyan-Palerang,46,6214,46,1.0,0.007402639201802382
10102101010,Queanbeyan-Palerang,95,6214,95,1.0,0.015288059221113615
10102101011,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102101012,Queanbeyan-Palerang,13,6214,13,1.0,0.0020920502092050207
10102101014,Queanbeyan-Palerang,3,6214,3,1.0,0.00048278081750885096
10102101015,Queanbeyan-Palerang,226,6214,226,1.0,0.03636948825233344
10102101016,Queanbeyan-Palerang,53,6214,53,1.0,0.0085291277759897
10102101017,Queanbeyan-Palerang,105,6214,105,1.0,0.016897328612809785
10102101201,Queanbeyan-Palerang,16,6214,16,1.0,0.002574831026713872
10102101202,Queanbeyan-Palerang,4,6214,4,1.0,0.000643707756678468
10102101203,Queanbeyan-Palerang,62,6214,62,1.0,0.009977470228516253
10102101204,Queanbeyan-Palerang,19,6214,19,1.0,0.003057611844222723
10102101205,Queanbeyan-Palerang,12,6214,12,1.0,0.0019311232700354038
10102101206,Queanbeyan-Palerang,12,6214,12,1.0,0.0019311232700354038
10102101207,Queanbeyan-Palerang,19,6214,19,1.0,0.003057611844222723
10102101208,Queanbeyan-Palerang,35,6214,35,1.0,0.005632442870936595
10102101209,Queanbeyan-Palerang,20,6214,20,1.0,0.0032185387833923397
10102101210,Queanbeyan-Palerang,29,6214,29,1.0,0.004666881235918893
10102101211,Queanbeyan-Palerang,34,6214,34,1.0,0.0054715159317669775
10102101212,Queanbeyan-Palerang,28,6214,28,1.0,0.004505954296749276
10102101213,Queanbeyan-Palerang,23,6214,23,1.0,0.003701319600901191
10102101214,Queanbeyan-Palerang,29,6214,29,1.0,0.004666881235918893
10102101215,Queanbeyan-Palerang,49,6214,49,1.0,0.007885420019311232
10102101216,Queanbeyan-Palerang,27,6214,27,1.0,0.004345027357579659
10102101217,Queanbeyan-Palerang,5,6214,5,1.0,0.0008046346958480849
10102101218,Queanbeyan-Palerang,44,6214,44,1.0,0.007080785323463148
10102101219,Queanbeyan-Palerang,131,6214,131,1.0,0.021081429031219828
10102101220,Queanbeyan-Palerang,36,6214,36,1.0,0.005793369810106212
10102101221,Queanbeyan-Palerang,48,6214,48,1.0,0.007724493080141615
10102101222,Queanbeyan-Palerang,46,6214,46,1.0,0.007402639201802382
10102101223,Queanbeyan-Palerang,62,6214,62,1.0,0.009977470228516253
10102101224,Queanbeyan-Palerang,23,6214,23,1.0,0.003701319600901191
10102101227,Queanbeyan-Palerang,8,6214,8,1.0,0.001287415513356936
10102101228,Queanbeyan-Palerang,26,6214,26,1.0,0.0041841004184100415
10102101229,Queanbeyan-Palerang,74,6214,74,1.0,0.011908593498551657
10102101230,Queanbeyan-Palerang,28,6214,28,1.0,0.004505954296749276
10102101231,Queanbeyan-Palerang,27,6214,27,1.0,0.004345027357579659
10102101232,Queanbeyan-Palerang,29,6214,29,1.0,0.004666881235918893
10102161001,Queanbeyan-Palerang,42,6214,42,1.0,0.0067589314451239136
10102161002,Queanbeyan-Palerang,14,6214,14,1.0,0.002252977148374638
10102161003,Queanbeyan-Palerang,53,6214,53,1.0,0.0085291277759897
10102161004,Queanbeyan-Palerang,33,6214,33,1.0,0.005310588992597361
10102161005,Queanbeyan-Palerang,26,6214,26,1.0,0.0041841004184100415
10102161006,Queanbeyan-Palerang,15,6214,15,1.0,0.002413904087544255
10102161007,Queanbeyan-Palerang,35,6214,35,1.0,0.005632442870936595
10102161008,Queanbeyan-Palerang,10,6214,10,1.0,0.0016092693916961698
10102161009,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161010,Queanbeyan-Palerang,52,6214,52,1.0,0.008368200836820083
10102161011,Queanbeyan-Palerang,28,6214,28,1.0,0.004505954296749276
10102161012,Queanbeyan-Palerang,18,6214,18,1.0,0.002896684905053106
10102161013,Queanbeyan-Palerang,22,6214,22,1.0,0.003540392661731574
10102161014,Queanbeyan-Palerang,22,6214,22,1.0,0.003540392661731574
10102161015,Queanbeyan-Palerang,28,6214,28,1.0,0.004505954296749276
10102161101,Queanbeyan-Palerang,13,6214,13,1.0,0.0020920502092050207
10102161102,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161103,Queanbeyan-Palerang,7,6214,7,1.0,0.001126488574187319
10102161104,Queanbeyan-Palerang,12,6214,12,1.0,0.0019311232700354038
10102161105,Queanbeyan-Palerang,9,6214,9,1.0,0.001448342452526553
10102161106,Queanbeyan-Palerang,18,6214,18,1.0,0.002896684905053106
10102161107,Goulburn Mulwaree,13,3525,18,0.7222222222222222,0.0036879432624113474
10102161107,Queanbeyan-Palerang,5,6214,18,0.2777777777777778,0.0008046346958480849
10102161108,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161109,Queanbeyan-Palerang,15,6214,15,1.0,0.002413904087544255
10102161110,Queanbeyan-Palerang,14,6214,14,1.0,0.002252977148374638
10102161111,Queanbeyan-Palerang,32,6214,32,1.0,0.005149662053427744
10102161112,Queanbeyan-Palerang,7,6214,7,1.0,0.001126488574187319
10102161113,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161114,Queanbeyan-Palerang,17,6214,17,1.0,0.0027357579658834888
10102161115,Queanbeyan-Palerang,6,6214,6,1.0,0.0009655616350177019
10102161116,Queanbeyan-Palerang,8,6214,8,1.0,0.001287415513356936
10102161117,Queanbeyan-Palerang,8,6214,8,1.0,0.001287415513356936
10102161118,Queanbeyan-Palerang,9,6214,9,1.0,0.001448342452526553
