Row Number,SA4 Code 2021,SA4 Name,State,Postcode,Postcode Area (sq km),SA4 Area (sq km)
1,101,Capital Region,New South Wales,2536,974.8377,51896.2444
2,101,Capital Region,New South Wales,2537,1167.0234,51896.2444
3,101,Capital Region,New South Wales,2538,390.494,51896.2444
4,101,Capital Region,New South Wales,2539,686.0289,51896.2444
5,101,Capital Region,New South Wales,2540,1900.6655,51896.2444
6,101,Capital Region,New South Wales,2545,876.5468,51896.2444
7,101,Capital Region,New South Wales,2546,911.2673,51896.2444
8,101,Capital Region,New South Wales,2548,120.1179,51896.2444
9,101,Capital Region,New South Wales,2549,222.9511,51896.2444
10,101,Capital Region,New South Wales,2550,3966.6591,51896.2444
11,101,Capital Region,New South Wales,2551,1397.7681,51896.2444
12,101,Capital Region,New South Wales,2575,981.4743,51896.2444
13,101,Capital Region,New South Wales,2577,1312.519,51896.2444
14,101,Capital Region,New South Wales,2579,860.117,51896.2444
15,101,Capital Region,New South Wales,2580,5512.6655,51896.2444
16,101,Capital Region,New South Wales,2581,2106.6075,51896.2444
17,101,Capital Region,New South Wales,2582,3130.1184,51896.2444
18,101,Capital Region,New South Wales,2583,3382.6891,51896.2444
19,101,Capital Region,New South Wales,2584,281.3129,51896.2444
20,101,Capital Region,New South Wales,2585,260.132,51896.2444
21,101,Capital Region,New South Wales,2586,2323.2503,51896.2444
22,101,Capital Region,New South Wales,2587,921.8587,51896.2444
23,101,Capital Region,New South Wales,2588,218.0548,51896.2444
24,101,Capital Region,New South Wales,2590,1320.4637,51896.2444
25,101,Capital Region,New South Wales,2594,2418.7155,51896.2444
26,101,Capital Region,New South Wales,2600,23.345,51896.2444
27,101,Capital Region,New South Wales,2609,127.7951,51896.2444
28,101,Capital Region,New South Wales,2611,1558.6312,51896.2444
29,101,Capital Region,New South Wales,2615,36.9984,51896.2444
30,101,Capital Region,New South Wales,2617,37.0115,51896.2444
31,101,Capital Region,New South Wales,2618,216.6295,51896.2444
32,101,Capital Region,New South Wales,2619,11.3316,51896.2444
33,101,Capital Region,New South Wales,2620,2869.8201,51896.2444
34,101,Capital Region,New South Wales,2621,853.2512,51896.2444
35,101,Capital Region,New South Wales,2622,4256.1145,51896.2444
36,101,Capital Region,New South Wales,2623,166.9084,51896.2444
37,101,Capital Region,New South Wales,2624,348.5647,51896.2444
38,101,Capital Region,New South Wales,2625,1.0856,51896.2444
39,101,Capital Region,New South Wales,2626,383.5704,51896.2444
40,101,Capital Region,New South Wales,2627,1994.6112,51896.2444
41,101,Capital Region,New South Wales,2628,2337.0094,51896.2444
42,101,Capital Region,New South Wales,2629,2054.5144,51896.2444
43,101,Capital Region,New South Wales,2630,4206.3548,51896.2444
44,101,Capital Region,New South Wales,2631,1199.4934,51896.2444
45,101,Capital Region,New South Wales,2632,1824.9879,51896.2444
46,101,Capital Region,New South Wales,2633,766.4927,51896.2444
47,101,Capital Region,New South Wales,2642,4076.8,51896.2444
48,101,Capital Region,New South Wales,2666,2462.5855,51896.2444
49,101,Capital Region,New South Wales,2720,2485.6548,51896.2444
50,101,Capital Region,New South Wales,2722,1576.1373,51896.2444
51,101,Capital Region,New South Wales,2725,262.3734,51896.2444
52,101,Capital Region,New South Wales,2726,160.6689,51896.2444
53,101,Capital Region,New South Wales,2727,772.9227,51896.2444
54,101,Capital Region,New South Wales,2787,4632.7818,51896.2444
55,101,Capital Region,New South Wales,2793,648.0055,51896.2444
56,101,Capital Region,New South Wales,2794,1408.2658,51896.2444
57,101,Capital Region,New South Wales,2795,5307.5248,51896.2444
58,101,Capital Region,New South Wales,2803,342.0982,51896.2444
59,101,Capital Region,New South Wales,2807,299.7008,51896.2444
60,101,Capital Region,New South Wales,2808,242.5414,51896.2444
61,101,Capital Region,New South Wales,2809,163.0067,51896.2444
62,101,Capital Region,New South Wales,2810,2658.971,51896.2444
63,101,Capital Region,New South Wales,2900,101.0226,51896.2444
64,101,Capital Region,New South Wales,2912,31.9188,51896.2444
65,102,Central Coast,New South Wales,2083,45.774,1681.0088
66,102,Central Coast,New South Wales,2250,691.6342,1681.0088
67,102,Central Coast,New South Wales,2251,43.5444,1681.0088
68,102,Central Coast,New South Wales,2256,72.7648,1681.0088
69,102,Central Coast,New South Wales,2257,29.3795,1681.0088
70,102,Central Coast,New South Wales,2258,121.2568,1681.0088
71,102,Central Coast,New South Wales,2259,524.7348,1681.0088
72,102,Central Coast,New South Wales,2260,23.6207,1681.0088
73,102,Central Coast,New South Wales,2261,51.4591,1681.0088
74,102,Central Coast,New South Wales,2262,33.7717,1681.0088
75,102,Central Coast,New South Wales,2263,22.3942,1681.0088
76,102,Central Coast,New South Wales,2264,115.1942,1681.0088
77,102,Central Coast,New South Wales,2265,136.0018,1681.0088
78,102,Central Coast,New South Wales,2325,1605.0648,1681.0088
79,102,Central Coast,New South Wales,2775,833.1402,1681.0088
80,103,Central West,New South Wales,2328,1634.8508,70297.06
81,103,Central West,New South Wales,2329,3056.2045,70297.06
82,103,Central West,New South Wales,2330,4730.8949,70297.06
83,103,Central West,New South Wales,2580,5512.6655,70297.06
84,103,Central West,New South Wales,2583,3382.6891,70297.06
85,103,Central West,New South Wales,2586,2323.2503,70297.06
86,103,Central West,New South Wales,2594,2418.7155,70297.06
87,103,Central West,New South Wales,2665,4109.6274,70297.06
88,103,Central West,New South Wales,2666,2462.5855,70297.06
89,103,Central West,New South Wales,2668,708.1132,70297.06
90,103,Central West,New South Wales,2669,6295.346,70297.06
91,103,Central West,New South Wales,2671,3297.7351,70297.06
92,103,Central West,New South Wales,2672,1794.2389,70297.06
