Row Number,SED Code 2021,SED,State,Postcode,Postcode Area (sq km),SED Area (sq km)
1,10001,Albury,New South Wales,2624,348.5647,19684.1233
2,10001,Albury,New South Wales,2627,1994.6112,19684.1233
3,10001,Albury,New South Wales,2628,2337.0094,19684.1233
4,10001,Albury,New South Wales,2629,2054.5144,19684.1233
5,10001,Albury,New South Wales,2640,1029.4042,19684.1233
6,10001,Albury,New South Wales,2641,33.5384,19684.1233
7,10001,Albury,New South Wales,2642,4076.8,19684.1233
8,10001,Albury,New South Wales,2643,156.4024,19684.1233
9,10001,Albury,New South Wales,2644,2157.7365,19684.1233
10,10001,Albury,New South Wales,2645,1181.6879,19684.1233
11,10001,Albury,New South Wales,2646,2895.4549,19684.1233
12,10001,Albury,New South Wales,2647,357.3501,19684.1233
13,10001,Albury,New South Wales,2649,247.113,19684.1233
14,10001,Albury,New South Wales,2650,4061.238,19684.1233
15,10001,Albury,New South Wales,2652,6116.1137,19684.1233
16,10001,Albury,New South Wales,2653,1228.8205,19684.1233
17,10001,Albury,New South Wales,2656,1497.1368,19684.1233
18,10001,Albury,New South Wales,2658,748.0545,19684.1233
19,10001,Albury,New South Wales,2659,367.5445,19684.1233
20,10001,Albury,New South Wales,2660,451.2793,19684.1233
21,10001,Albury,New South Wales,2700,3016.2983,19684.1233
22,10001,Albury,New South Wales,2707,2112.3439,19684.1233
23,10001,Albury,New South Wales,2710,10466.1631,19684.1233
24,10001,Albury,New South Wales,2712,966.5102,19684.1233
25,10001,Albury,New South Wales,2713,970.31,19684.1233
26,10001,Albury,New South Wales,2716,2861.8271,19684.1233
27,10001,Albury,New South Wales,2720,2485.6548,19684.1233
28,10001,Albury,New South Wales,2730,420.4856,19684.1233
29,10002,Auburn,New South Wales,2115,3.9347,38.4245
30,10002,Auburn,New South Wales,2116,3.7975,38.4245
31,10002,Auburn,New South Wales,2127,8.1408,38.4245
32,10002,Auburn,New South Wales,2128,2.7,38.4245
33,10002,Auburn,New South Wales,2135,6.5375,38.4245
34,10002,Auburn,New South Wales,2138,3.7811,38.4245
35,10002,Auburn,New South Wales,2140,3.7487,38.4245
36,10002,Auburn,New South Wales,2141,11.9359,38.4245
37,10002,Auburn,New South Wales,2142,10.9833,38.4245
38,10002,Auburn,New South Wales,2143,4.3104,38.4245
39,10002,Auburn,New South Wales,2144,8.5637,38.4245
40,10002,Auburn,New South Wales,2160,8.4346,38.4245
41,10002,Auburn,New South Wales,2161,11.2122,38.4245
42,10002,Auburn,New South Wales,2162,5.7908,38.4245
43,10002,Auburn,New South Wales,2190,9.7772,38.4245
44,10003,Ballina,New South Wales,2471,442.1506,1050.7719
45,10003,Ballina,New South Wales,2472,466.4076,1050.7719
46,10003,Ballina,New South Wales,2477,227.642,1050.7719
47,10003,Ballina,New South Wales,2478,185.6804,1050.7719
48,10003,Ballina,New South Wales,2479,164.5709,1050.7719
49,10003,Ballina,New South Wales,2480,1369.4565,1050.7719
50,10003,Ballina,New South Wales,2481,131.029,1050.7719
51,10003,Ballina,New South Wales,2482,180.2681,1050.7719
52,10003,Ballina,New South Wales,2483,182.7314,1050.7719
53,10003,Ballina,New South Wales,2484,972.2983,1050.7719
54,10004,Balmain,New South Wales,2007,0.5588,13.2658
55,10004,Balmain,New South Wales,2008,0.845,13.2658
56,10004,Balmain,New South Wales,2009,0.9299,13.2658
57,10004,Balmain,New South Wales,2037,2.1374,13.2658
58,10004,Balmain,New South Wales,2038,1.4931,13.2658
59,10004,Balmain,New South Wales,2039,1.8337,13.2658
60,10004,Balmain,New South Wales,2040,4.754,13.2658
61,10004,Balmain,New South Wales,2041,2.4666,13.2658
62,10004,Balmain,New South Wales,2045,2.3828,13.2658
63,10004,Balmain,New South Wales,2048,1.218,13.2658
64,10004,Balmain,New South Wales,2049,1.929,13.2658
65,10004,Balmain,New South Wales,2050,1.5031,13.2658
66,10004,Balmain,New South Wales,2130,1.2031,13.2658
67,10005,Bankstown,New South Wales,2141,11.9359,27.2579
68,10005,Bankstown,New South Wales,2143,4.3104,27.2579
69,10005,Bankstown,New South Wales,2144,8.5637,27.2579
70,10005,Bankstown,New South Wales,2161,11.2122,27.2579
71,10005,Bankstown,New South Wales,2162,5.7908,27.2579
72,10005,Bankstown,New South Wales,2163,6.3533,27.2579
73,10005,Bankstown,New South Wales,2165,11.12,27.2579
74,10005,Bankstown,New South Wales,2166,15.2543,27.2579
75,10005,Bankstown,New South Wales,2190,9.7772,27.2579
76,10005,Bankstown,New South Wales,2196,7.0679,27.2579
77,10005,Bankstown,New South Wales,2197,2.9286,27.2579
78,10005,Bankstown,New South Wales,2198,3.3233,27.2579
