SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_2016_TO_2021
10001.0,Albury,10001,Albury,1.0
10004.0,Balmain,10004,Balmain,1.0
10006.0,Barwon,10006,Barwon,1.0
10009.0,Bega,10009,Bega,1.0
10012.0,Cabramatta,10012,Cabramatta,1.0
10020.0,Coffs Harbour,10020,Coffs Harbour,1.0
10021.0,Coogee,10021,Coogee,1.0
10025.0,Drummoyne,10025,Drummoyne,1.0
10028.0,Epping,10028,Epping,1.0
10029.0,Fairfield,10029,Fairfield,1.0
10035.0,Heffron,10035,Heffron,1.0
10038.0,Keira,10038,Keira,1.0
10040.0,Kogarah,10040,Kogarah,1.0
10043.0,Lakemba,10043,Lakemba,1.0
10051.0,Maroubra,10051,Maroubra,1.0
10053.0,Monaro,10053,Monaro,1.0
10054.0,Mount Druitt,10054,Mount Druitt,1.0
10056.0,Murray,10056,Murray,1.0
10057.0,Myall Lakes,10057,Myall Lakes,1.0
10058.0,Newcastle,10058,Newcastle,1.0
10061.0,Northern Tablelands,10061,Northern Tablelands,1.0
10062.0,Oatley,10062,Oatley,1.0
10067.0,Pittwater,10067,Pittwater,1.0
10069.0,Port Stephens,10069,Port Stephens,1.0
10071.0,Riverstone,10071,Riverstone,1.0
10074.0,Seven Hills,10074,Seven Hills,1.0
10082.0,Terrigal,10082,Terrigal,1.0
10086.0,Vaucluse,10086,Vaucluse,1.0
10088.0,Wakehurst,10088,Wakehurst,1.0
10090.0,Willoughby,10090,Willoughby,1.0
10091.0,Wollondilly,10091,Wollondilly,1.0
10092.0,Wollongong,10092,Wollongong,1.0
19494.0,No usual address (NSW),19494,No usual address (NSW),1.0
19797.0,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),1.0
20106.0,Albert Park (Southern Metropolitan),20106,Albert Park (Southern Metropolitan),1.0
20207.0,Altona (Western Metropolitan),20207,Altona (Western Metropolitan),1.0
20401.0,Bayswater (Eastern Metropolitan),20401,Bayswater (Eastern Metropolitan),1.0
20604.0,Benambra (Northern Victoria),20604,Benambra (Northern Victoria),1.0
20906.0,Bentleigh (Southern Metropolitan),20906,Bentleigh (Southern Metropolitan),1.0
21203.0,Broadmeadows (Northern Metropolitan),21203,Broadmeadows (Northern Metropolitan),1.0
21401.0,Bulleen (Eastern Metropolitan),21401,Bulleen (Eastern Metropolitan),1.0
21503.0,Bundoora (Northern Metropolitan),21503,Bundoora (Northern Metropolitan),1.0
21805.0,Carrum (South-Eastern Metropolitan),21805,Carrum (South-Eastern Metropolitan),1.0
21906.0,Caulfield (Southern Metropolitan),21906,Caulfield (Southern Metropolitan),1.0
22105.0,Cranbourne (South-Eastern Metropolitan),22105,Cranbourne (South-Eastern Metropolitan),1.0
22201.0,Croydon (Eastern Metropolitan),22201,Croydon (Eastern Metropolitan),1.0
22305.0,Dandenong (South-Eastern Metropolitan),22305,Dandenong (South-Eastern Metropolitan),1.0
22901.0,Ferntree Gully (Eastern Metropolitan),22901,Ferntree Gully (Eastern Metropolitan),1.0
23007.0,Footscray (Western Metropolitan),23007,Footscray (Western Metropolitan),1.0
23101.0,Forest Hill (Eastern Metropolitan),23101,Forest Hill (Eastern Metropolitan),1.0
23901.0,Ivanhoe (Eastern Metropolitan),23901,Ivanhoe (Eastern Metropolitan),1.0
24006.0,Kew (Southern Metropolitan),24006,Kew (Southern Metropolitan),1.0
24105.0,Keysborough (South-Eastern Metropolitan),24105,Keysborough (South-Eastern Metropolitan),1.0
24207.0,Kororoit (Western Metropolitan),24207,Kororoit (Western Metropolitan),1.0
24308.0,Lara (Western Victoria),24308,Lara (Western Victoria),1.0
24606.0,Malvern (Southern Metropolitan),24606,Malvern (Southern Metropolitan),1.0
24703.0,Melbourne (Northern Metropolitan),24703,Melbourne (Northern Metropolitan),1.0
24904.0,Mildura (Northern Victoria),24904,Mildura (Northern Victoria),1.0
25003.0,Mill Park (Northern Metropolitan),25003,Mill Park (Northern Metropolitan),1.0
