Row Number,Suburb Code 2021,Suburb,State,Postcode,Postcode Area (sq km),Suburb Area (sq km)
1,10001,Aarons Pass,New South Wales,2795,5307.5248,82.7639
2,10001,Aarons Pass,New South Wales,2849,2801.0405,82.7639
3,10001,Aarons Pass,New South Wales,2850,6005.3758,82.7639
4,10002,Abbotsbury,New South Wales,2164,20.5159,4.9788
5,10002,Abbotsbury,New South Wales,2171,21.5331,4.9788
6,10002,Abbotsbury,New South Wales,2175,21.9683,4.9788
7,10002,Abbotsbury,New South Wales,2176,19.8468,4.9788
8,10002,Abbotsbury,New South Wales,2177,5.1959,4.9788
9,10002,Abbotsbury,New South Wales,2178,54.3241,4.9788
10,10003,Abbotsford (NSW),New South Wales,2046,6.0148,1.018
11,10004,Abercrombie,New South Wales,2795,5307.5248,2.9775
12,10005,Abercrombie River,New South Wales,2583,3382.6891,127.1701
13,10005,Abercrombie River,New South Wales,2795,5307.5248,127.1701
14,10006,Aberdare,New South Wales,2325,1605.0648,3.2961
15,10006,Aberdare,New South Wales,2326,80.9068,3.2961
16,10007,Aberdeen (NSW),New South Wales,2333,1691.3907,41.6327
17,10007,Aberdeen (NSW),New South Wales,2336,888.9717,41.6327
18,10007,Aberdeen (NSW),New South Wales,2337,3331.7268,41.6327
19,10008,Aberfoyle,New South Wales,2350,4543.2274,340.4792
20,10008,Aberfoyle,New South Wales,2365,3804.6687,340.4792
21,10009,Aberglasslyn,New South Wales,2320,403.8742,6.2154
22,10010,Abermain,New South Wales,2323,207.9467,15.3822
23,10010,Abermain,New South Wales,2325,1605.0648,15.3822
24,10010,Abermain,New South Wales,2326,80.9068,15.3822
25,10010,Abermain,New South Wales,2327,15.0694,15.3822
26,10011,Abernethy,New South Wales,2325,1605.0648,8.4025
27,10012,Abington (NSW),New South Wales,2350,4543.2274,174.3142
28,10012,Abington (NSW),New South Wales,2358,1905.5433,174.3142
29,10012,Abington (NSW),New South Wales,2359,1294.1139,174.3142
30,10012,Abington (NSW),New South Wales,2365,3804.6687,174.3142
31,10013,Acacia Creek,New South Wales,2476,805.3354,6.261
32,10014,Acacia Gardens,New South Wales,2148,37.6817,1.0013
33,10014,Acacia Gardens,New South Wales,2763,13.0157,1.0013
34,10014,Acacia Gardens,New South Wales,2768,9.0194,1.0013
35,10015,Adaminaby,New South Wales,2628,2337.0094,356.4961
36,10015,Adaminaby,New South Wales,2629,2054.5144,356.4961
37,10015,Adaminaby,New South Wales,2630,4206.3548,356.4961
38,10016,Adamstown,New South Wales,2289,11.413,3.051
39,10016,Adamstown,New South Wales,2291,7.1942,3.051
40,10016,Adamstown,New South Wales,2292,2.873,3.051
41,10016,Adamstown,New South Wales,2303,3.0401,3.051
42,10016,Adamstown,New South Wales,2305,8.894,3.051
43,10017,Adamstown Heights,New South Wales,2289,11.413,2.394
44,10017,Adamstown Heights,New South Wales,2290,35.6998,2.394
45,10017,Adamstown Heights,New South Wales,2291,7.1942,2.394
46,10018,Adelong,New South Wales,2720,2485.6548,20.2697
47,10018,Adelong,New South Wales,2729,933.1202,20.2697
48,10019,Adjungbilly,New South Wales,2582,3130.1184,438.1006
49,10019,Adjungbilly,New South Wales,2720,2485.6548,438.1006
50,10019,Adjungbilly,New South Wales,2722,1576.1373,438.1006
51,10019,Adjungbilly,New South Wales,2727,772.9227,438.1006
52,10020,Afterlee,New South Wales,2474,1537.5939,34.7839
53,10021,Agnes Banks,New South Wales,2749,47.0936,15.475
54,10021,Agnes Banks,New South Wales,2753,169.4419,15.475
55,10021,Agnes Banks,New South Wales,2754,34.3251,15.475
56,10022,Airds,New South Wales,2173,192.8683,2.3806
57,10022,Airds,New South Wales,2560,411.3136,2.3806
58,10023,Akolele,New South Wales,2546,911.2673,5.9502
59,10024,Albert,New South Wales,2823,2782.3577,690.5799
60,10024,Albert,New South Wales,2873,3202.9936,690.5799
61,10024,Albert,New South Wales,2874,1358.1326,690.5799
62,10024,Albert,New South Wales,2877,15332.1603,690.5799
63,10025,Albion Park,New South Wales,2527,96.0646,9.0983
64,10026,Albion Park Rail,New South Wales,2527,96.0646,7.1632
65,10026,Albion Park Rail,New South Wales,2529,40.4513,7.1632
66,10026,Albion Park Rail,New South Wales,2530,88.3672,7.1632
67,10027,Albury,New South Wales,2640,1029.4042,5.6834
68,10028,Aldavilla,New South Wales,2440,3604.2396,15.0762
69,10029,Alectown,New South Wales,2867,1042.378,277.1442
70,10029,Alectown,New South Wales,2869,2103.7978,277.1442
71,10029,Alectown,New South Wales,2870,2453.9995,277.1442
